player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Gabriel Dos Santos,br BRA,DF,Arsenal,23-061,1997,14.2,19,13,14,5,0,6,11,54.5,5,97,39,40.2,58,34,5,30,18,0,12,12,31,63,2,Matches
Abdoulaye Doucouré,fr FRA,MF,Everton,28-048,1993,21.0,41,32,25,11,5,11,33,33.3,22,381,112,29.4,161,158,62,35,9,0,26,22,63,24,1,Matches
Paul Dummett,wal WAL,DF,Newcastle Utd,29-145,1991,1.9,4,1,3,1,0,3,6,50.0,3,14,2,14.3,5,7,2,2,0,0,2,2,6,10,0,Matches
Lewis Dunk,eng ENG,DF,Brighton,29-089,1991,21.0,26,15,17,7,2,10,17,58.8,7,116,45,38.8,65,46,5,29,18,1,11,18,44,78,0,Matches
Jimmy Dunne,ie IRL,DF,Burnley,23-122,1997,2.0,1,1,1,0,0,1,1,100.0,0,13,7,53.8,8,4,1,4,3,0,1,0,1,7,0,Matches
Ederson,br BRA,GK,Manchester City,27-185,1993,23.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,1,1,Matches
Kyle Edwards,eng ENG,"MF,FW",West Brom,23-001,1998,1.3,3,0,1,1,1,0,1,0.0,1,15,2,13.3,4,9,2,2,0,0,2,1,4,0,0,Matches
John Egan,ie IRL,DF,Sheffield Utd,28-121,1992,21.1,34,22,25,8,1,9,21,42.9,12,173,54,31.2,106,63,4,41,22,1,19,26,60,114,1,Matches
Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-162,1987,1.8,2,2,1,1,0,2,4,50.0,2,13,4,30.8,6,7,0,2,0,0,2,5,7,6,0,Matches
Mohamed Elneny,eg EGY,MF,Arsenal,28-222,1992,10.3,9,5,5,4,0,4,9,44.4,5,116,36,31.0,43,55,18,14,4,0,10,12,21,10,1,Matches
Jonny Evans,nir NIR,DF,Leicester City,33-046,1988,19.7,17,9,13,3,1,8,17,47.1,9,133,54,40.6,86,45,2,19,5,0,14,29,46,104,0,Matches
Eberechi Eze,eng ENG,MF,Crystal Palace,22-234,1998,17.7,23,12,11,9,3,8,23,34.8,15,180,58,32.2,50,86,44,28,2,0,26,11,34,2,0,Matches
Łukasz Fabiański,pl POL,GK,West Ham,35-306,1985,23.0,0,0,0,0,0,0,0,,0,5,1,20.0,5,0,0,3,0,0,3,0,0,0,0,Matches
Fabinho,br BRA,"DF,MF",Liverpool,27-118,1993,17.4,41,29,15,24,2,16,32,50.0,16,158,58,36.7,66,83,9,25,9,0,16,24,65,65,0,Matches
Bruno Fernandes,pt POR,MF,Manchester Utd,26-163,1994,22.4,45,31,17,19,9,13,54,24.1,41,424,102,24.1,68,197,159,33,1,0,32,9,54,19,0,Matches
Federico Fernández,ar ARG,DF,Newcastle Utd,31-363,1989,15.3,28,14,20,6,2,11,19,57.9,8,130,39,30.0,87,37,6,37,23,0,14,6,34,103,1,Matches
Fernandinho,br BRA,MF,Manchester City,35-290,1985,5.8,13,9,2,9,2,4,14,28.6,10,75,21,28.0,11,51,13,3,0,0,3,8,21,9,0,Matches
Sam Field,eng ENG,MF,West Brom,22-286,1998,0.7,9,7,4,5,0,2,3,66.7,1,22,10,45.5,8,13,1,6,1,0,5,0,9,4,0,Matches
Roberto Firmino,br BRA,FW,Liverpool,29-139,1991,20.8,25,16,3,9,13,8,25,32.0,17,325,93,28.6,45,144,136,38,2,0,36,8,33,6,0,Matches
