player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Wesley Fofana,fr FRA,DF,Leicester City,20-063,2000,15.5,12,0.78,9,0,0,1,1,1,1,0.06,0,0,0,0,1,0,0,Matches
Pablo Fornals,es ESP,"FW,MF",West Ham,24-362,1996,17.1,38,2.22,31,1,1,3,2,0,6,0.35,3,1,0,2,0,0,0,Matches
Fraser Forster,eng ENG,GK,Southampton,32-338,1988,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,23-047,1998,0.9,4,4.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ryan Fraser,sco SCO,"MF,FW",Newcastle Utd,26-360,1994,6.6,24,3.66,14,9,0,0,1,0,3,0.46,1,1,0,0,1,0,0,Matches
Fred,br BRA,MF,Manchester Utd,27-350,1993,15.6,40,2.57,35,0,1,1,1,2,4,0.26,3,0,0,0,0,1,0,Matches
Ryan Fredericks,eng ENG,"DF,FW",West Ham,28-131,1992,4.9,17,3.46,14,0,1,0,0,2,1,0.20,1,0,0,0,0,0,0,Matches
Christian Fuchs,at AUT,DF,Leicester City,34-317,1986,7.8,3,0.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Darnell Furlong,eng ENG,DF,West Brom,25-110,1995,18.6,19,1.02,14,1,0,3,1,0,2,0.11,2,0,0,0,0,0,0,Matches
Conor Gallagher,eng ENG,MF,West Brom,21-012,2000,17.1,19,1.11,13,2,1,1,1,1,2,0.12,2,0,0,0,0,0,0,Matches
Eric García,es ESP,DF,Manchester City,20-040,2001,2.2,4,1.79,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Dwight Gayle,eng ENG,FW,Newcastle Utd,30-124,1990,1.8,3,1.64,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
David de Gea,es ESP,GK,Manchester Utd,30-103,1990,21.5,1,0.05,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Anwar El Ghazi,nl NED,FW,Aston Villa,25-291,1995,6.3,25,3.95,15,2,4,1,3,0,0,0.00,0,0,0,0,0,0,0,Matches
