player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Andreas Christensen,dk DEN,DF,Chelsea,24-314,1996,7.1,483,523,92.4,10491,2722,134,146,91.8,264,280,94.3,82,94,87.2,0,0.0,0.0,0,16,0,0,25,Matches
Ciaran Clark,ie IRL,DF,Newcastle Utd,31-145,1989,12.4,391,474,82.5,7892,2767,138,159,86.8,182,205,88.8,65,97,67.0,0,0.1,-0.1,2,28,2,0,27,Matches
Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-319,1991,12.7,437,569,76.8,6900,2750,235,257,91.4,164,206,79.6,29,75,38.7,1,0.4,+0.6,4,19,13,6,25,Matches
Conor Coady,eng ENG,DF,Wolves,27-359,1993,22.7,985,1126,87.5,25017,9054,179,188,95.2,520,547,95.1,280,378,74.1,0,0.1,-0.1,2,42,0,0,37,Matches
Séamus Coleman,ie IRL,DF,Everton,32-130,1988,8.8,381,458,83.2,6669,2550,182,201,90.5,160,180,88.9,36,66,54.5,1,0.8,+0.2,6,16,5,1,21,Matches
Aaron Connolly,ie IRL,FW,Brighton,21-021,2000,7.4,68,88,77.3,1003,154,38,47,80.9,23,27,85.2,4,5,80.0,1,0.2,+0.8,4,2,1,0,3,Matches
Liam Cooper,sco SCO,DF,Leeds United,29-172,1991,16.8,1030,1161,88.7,24088,6693,205,217,94.5,601,631,95.2,221,306,72.2,0,0.0,0.0,0,54,2,0,47,Matches
Jack Cork,eng ENG,MF,Burnley,31-238,1989,5.3,121,155,78.1,1849,451,63,73,86.3,45,50,90.0,8,17,47.1,0,0.0,0.0,1,9,1,0,12,Matches
Hélder Costa,pt POR,MF,Leeds United,27-037,1994,8.2,181,241,75.1,2494,627,112,126,88.9,56,74,75.7,5,17,29.4,2,0.8,+1.2,8,5,10,4,11,Matches
Vladimír Coufal,cz CZE,DF,West Ham,28-180,1992,19.9,701,979,71.6,12348,6159,317,366,86.6,299,397,75.3,73,166,44.0,3,2.4,+0.6,26,55,26,14,79,Matches
Aaron Cresswell,eng ENG,DF,West Ham,31-065,1989,24.0,1069,1429,74.8,21565,10365,441,500,88.2,439,516,85.1,175,360,48.6,6,3.8,+2.2,37,104,16,11,90,Matches
Patrick Cutrone,it ITA,"FW,MF",Wolves,23-046,1998,0.3,4,5,80.0,67,2,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-305,1991,22.9,1221,1485,82.2,20744,6827,633,701,90.3,471,563,83.7,105,176,59.7,2,1.2,+0.8,16,90,26,7,117,Matches
Scott Dann,eng ENG,DF,Crystal Palace,34-004,1987,12.0,455,530,85.8,9328,4256,151,166,91.0,238,254,93.7,64,103,62.1,0,0.0,0.0,1,20,0,0,26,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,30-133,1990,24.0,353,697,50.6,15140,11179,23,23,100.0,107,111,96.4,223,563,39.6,0,0.0,0.0,1,8,0,0,0,Matches
Ben Davies,wal WAL,DF,Tottenham,27-300,1993,13.6,569,729,78.1,10129,3843,248,276,89.9,263,311,84.6,49,117,41.9,1,0.6,+0.4,7,38,9,4,39,Matches
Tom Davies,eng ENG,"MF,DF",Everton,22-233,1998,8.7,328,397,82.6,6229,1548,132,149,88.6,151,173,87.3,41,60,68.3,0,0.5,-0.5,3,21,7,2,26,Matches
Keinan Davis,eng ENG,FW,Aston Villa,23-005,1998,0.6,18,24,75.0,235,56,11,12,91.7,6,10,60.0,0,0,,0,0.0,0.0,1,0,2,0,2,Matches
Leif Davis,eng ENG,DF,Leeds United,21-037,2000,0.4,17,20,85.0,381,158,5,5,100.0,10,11,90.9,2,4,50.0,0,0.0,0.0,0,0,1,0,1,Matches
Craig Dawson,eng ENG,DF,West Ham,30-288,1990,9.0,232,295,78.6,5455,1520,48,51,94.1,125,139,89.9,58,103,56.3,0,0.0,0.0,1,19,0,0,15,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,29-235,1991,15.7,725,962,75.4,14129,4313,314,372,84.4,279,341,81.8,117,196,59.7,10,6.9,+3.1,54,82,56,6,120,Matches
Liam Delap,eng ENG,FW,Manchester City,18-010,2003,0.4,5,7,71.4,45,0,4,6,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Fabian Delph,eng ENG,"MF,DF",Everton,31-089,1989,2.4,174,197,88.3,3031,830,81,87,93.1,75,80,93.8,16,26,61.5,0,0.0,0.0,1,14,1,0,15,Matches
Leander Dendoncker,be BEL,"MF,DF",Wolves,25-309,1995,16.7,590,679,86.9,10726,2269,247,277,89.2,250,283,88.3,76,89,85.4,0,0.6,-0.6,15,40,5,2,38,Matches
Mbaye Diagne,sn SEN,FW,West Brom,29-113,1991,3.2,32,42,76.2,536,89,17,19,89.5,11,17,64.7,3,4,75.0,1,0.2,+0.8,2,4,1,1,3,Matches
Ibrahima Diallo,fr FRA,MF,Southampton,21-347,1999,4.9,210,254,82.7,3670,741,95,108,88.0,95,106,89.6,16,35,45.7,0,0.1,-0.1,3,7,1,0,12,Matches
Grady Diangana,eng ENG,"MF,FW",West Brom,22-305,1998,11.9,223,302,73.8,3062,762,129,160,80.6,81,99,81.8,5,21,23.8,0,0.1,-0.1,4,14,6,0,23,Matches
Raphael Dias Belloli,br BRA,MF,Leeds United,24-066,1996,15.0,435,630,69.0,8103,3104,191,223,85.7,173,228,75.9,60,133,45.1,5,3.4,+1.6,31,47,29,6,92,Matches
Rúben Dias,pt POR,DF,Manchester City,23-280,1997,20.8,1647,1767,93.2,35506,9503,414,439,94.3,937,975,96.1,286,336,85.1,0,0.1,-0.1,2,111,4,1,78,Matches
Eric Dier,eng ENG,DF,Tottenham,27-034,1994,20.0,950,1131,84.0,22085,7131,246,274,89.8,485,521,93.1,213,318,67.0,0,0.0,0.0,1,49,5,0,42,Matches
Lucas Digne,fr FRA,"DF,MF",Everton,27-213,1993,14.8,652,888,73.4,11915,4498,297,344,86.3,262,331,79.2,77,160,48.1,6,2.5,+3.5,19,41,17,12,59,Matches
Virgil van Dijk,nl NED,DF,Liverpool,29-225,1991,4.1,295,327,90.2,7035,2127,61,65,93.8,176,186,94.6,58,75,77.3,0,0.0,0.0,0,26,0,0,20,Matches
Issa Diop,fr FRA,DF,West Ham,24-040,1997,4.3,180,204,88.2,3756,1081,58,61,95.1,86,91,94.5,34,48,70.8,0,0.0,0.0,0,9,0,0,7,Matches
Moussa Djenepo,ml MLI,MF,Southampton,22-248,1998,9.3,199,272,73.2,3095,780,106,130,81.5,75,92,81.5,13,23,56.5,0,0.5,-0.5,6,16,10,0,20,Matches
Matt Doherty,ie IRL,DF,Tottenham,29-033,1992,9.1,400,517,77.4,6308,2414,234,266,88.0,131,175,74.9,28,57,49.1,1,0.5,+0.5,6,14,6,2,29,Matches
Gabriel Dos Santos,br BRA,DF,Arsenal,23-061,1997,14.2,876,1012,86.6,18601,4970,235,258,91.1,479,515,93.0,155,225,68.9,0,0.0,0.0,1,51,1,0,30,Matches
Abdoulaye Doucouré,fr FRA,MF,Everton,28-048,1993,21.0,918,1060,86.6,15692,3300,432,483,89.4,373,409,91.2,88,114,77.2,3,2.2,+0.8,16,59,15,1,48,Matches
Paul Dummett,wal WAL,DF,Newcastle Utd,29-145,1991,1.9,38,49,77.6,604,333,24,24,100.0,12,16,75.0,2,7,28.6,0,0.0,0.0,0,6,0,0,2,Matches
Lewis Dunk,eng ENG,DF,Brighton,29-089,1991,21.0,1133,1279,88.6,26026,7111,284,301,94.4,592,627,94.4,247,335,73.7,0,0.5,-0.5,6,66,0,0,43,Matches
Jimmy Dunne,ie IRL,DF,Burnley,23-122,1997,2.0,60,89,67.4,1301,256,18,24,75.0,29,40,72.5,12,24,50.0,0,0.1,-0.1,2,0,1,0,1,Matches
Ederson,br BRA,GK,Manchester City,27-185,1993,23.0,560,665,84.2,15107,8765,73,76,96.1,321,323,99.4,160,259,61.8,1,0.4,+0.6,1,2,2,0,0,Matches
Kyle Edwards,eng ENG,"MF,FW",West Brom,23-001,1998,1.3,30,35,85.7,420,91,18,18,100.0,12,13,92.3,0,2,0.0,0,0.0,0.0,0,3,0,0,3,Matches
John Egan,ie IRL,DF,Sheffield Utd,28-121,1992,21.1,667,797,83.7,15612,5072,169,188,89.9,348,386,90.2,146,211,69.2,1,0.2,+0.8,2,61,5,0,50,Matches
