player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,19-361,2001,9.4,412,10,51,178,219,51,394,39,62,62.9,43,2,339,1624,1034,50,13,12,21,37,444,277,62.4,68,Matches
Mickaël Cuisance,fr FRA,FW,Bayern Munich,21-181,1999,0.2,13,0,0,8,5,0,13,0,1,0.0,0,0,10,40,29,2,0,0,0,1,11,9,81.8,0,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21-262,1999,16.7,853,8,112,388,436,73,764,53,95,55.8,57,0,632,3832,2364,118,40,27,34,77,730,530,72.6,108,Matches
Rafael Czichos,de GER,DF,Köln,30-275,1990,12.7,743,124,474,292,15,7,701,2,5,40.0,2,0,400,2413,1270,27,3,0,0,5,427,416,97.4,3,Matches
Moanes Dabour,il ISR,FW,Hoffenheim,28-275,1992,8.5,376,9,39,169,183,44,362,13,26,50.0,14,2,272,1016,478,30,7,5,29,21,432,276,63.9,74,Matches
Finn Dahmen,de GER,GK,Mainz 05,22-323,1998,1.0,28,27,28,0,0,0,21,0,0,,0,0,11,80,47,0,0,0,0,0,4,4,100.0,0,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,25-043,1996,3.3,288,6,48,184,87,4,286,4,8,50.0,4,0,225,1322,551,21,8,1,6,11,244,217,88.9,15,Matches
Leon Dajaku,de GER,FW,Union Berlin,19-307,2001,0.4,22,0,3,15,6,0,22,1,2,50.0,2,0,18,83,17,0,0,0,3,2,19,15,78.9,1,Matches
Márton Dárdai,de GER,DF,Hertha BSC,19-001,2002,0.2,12,4,11,3,0,0,11,0,0,,0,0,11,64,18,0,0,0,0,0,7,7,100.0,0,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,30-189,1990,15.5,921,18,164,467,349,39,850,13,20,65.0,15,1,604,3367,1444,69,30,6,24,21,727,588,80.9,81,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,20-103,2000,8.8,741,32,184,397,215,12,670,18,25,72.0,19,2,541,2728,1606,68,22,6,19,15,523,478,91.4,24,Matches
Thomas Delaney,dk DEN,MF,Dortmund,29-163,1991,8.2,627,30,162,373,109,11,616,2,6,33.3,3,0,382,1305,509,25,4,1,7,4,450,417,92.7,8,Matches
Kerem Demirbay,de GER,MF,Leverkusen,27-225,1993,9.7,727,16,99,429,249,18,661,12,18,66.7,13,3,467,2273,1168,57,20,3,22,26,549,489,89.1,37,Matches
Ermedin Demirović,ba BIH,FW,Freiburg,22-325,1998,8.2,270,16,33,132,120,36,261,5,11,45.5,5,0,156,748,325,23,4,6,18,18,415,163,39.3,46,Matches
Emmanuel Dennis,ng NGA,FW,Köln,23-090,1997,1.5,52,1,2,28,27,6,50,4,6,66.7,4,1,37,156,107,6,4,1,5,3,95,38,40.0,11,Matches
Mike van der Hoorn,nl NED,DF,Arminia,28-121,1992,13.9,916,141,620,342,13,8,894,0,1,0.0,0,0,571,2916,1548,15,1,0,2,3,638,617,96.7,3,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,21-221,1999,18.6,871,7,78,430,475,77,856,36,87,41.4,42,7,724,4535,2578,134,50,32,33,49,972,697,71.7,116,Matches
Daniel Didavi,de GER,"FW,MF",Stuttgart,30-358,1990,7.7,377,6,35,181,186,20,339,9,11,81.8,9,1,265,1299,718,39,18,1,10,15,341,270,79.2,67,Matches
Javairô Dilrosun,nl NED,FW,Hertha BSC,22-236,1998,3.0,148,0,28,78,54,11,143,6,17,35.3,9,1,108,735,382,19,5,7,4,3,134,105,78.4,27,Matches
Eren Dinkçi,de GER,FW,Werder Bremen,19-062,2001,0.1,4,0,2,1,1,1,4,0,0,,0,0,1,12,0,0,0,0,1,0,3,3,100.0,0,Matches
Ritsu Doan,jp JPN,"MF,FW",Arminia,22-242,1998,17.9,837,8,102,428,388,50,755,36,72,50.0,44,3,580,3336,2060,114,41,18,40,46,764,525,68.7,81,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,29-261,1991,0.7,30,0,6,15,9,2,29,0,0,,0,0,9,35,14,1,0,0,1,0,28,16,57.1,4,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,31-258,1989,9.1,372,10,27,210,141,38,363,1,1,100.0,1,0,170,434,156,10,2,2,10,9,490,303,61.8,70,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,29-344,1991,8.1,855,29,279,537,110,4,785,3,3,100.0,3,0,566,2748,1544,46,21,0,3,0,612,600,98.0,7,Matches
Dominick Drexler,de GER,"MF,FW",Köln,30-263,1990,8.4,406,12,91,193,145,22,393,5,11,45.5,5,0,270,1611,706,30,12,2,13,10,347,270,77.8,48,Matches
Ondrej Duda,sk SVK,"FW,MF",Köln,26-070,1994,16.7,942,21,138,523,335,23,848,32,45,71.1,33,2,596,2595,1128,55,18,5,37,29,846,630,74.5,80,Matches
Erik Durm,de GER,DF,Eint Frankfurt,28-277,1992,10.1,548,25,143,272,161,22,446,5,7,71.4,5,0,299,1670,773,30,12,5,18,6,358,294,82.1,26,Matches
Johannes Eggestein,de GER,"FW,MF",Werder Bremen,22-281,1998,0.4,19,2,5,10,6,1,19,0,0,,0,0,14,92,49,3,2,0,0,0,13,12,92.3,1,Matches
Maximilian Eggestein,de GER,MF,Werder Bremen,24-067,1996,19.0,943,41,242,550,204,18,922,11,19,57.9,11,0,581,2634,1502,64,24,3,13,17,671,562,83.8,48,Matches
Lilian Egloff,de GER,MF,Stuttgart,18-177,2002,0.2,7,0,3,0,4,1,6,1,1,100.0,1,0,6,12,1,1,0,1,1,2,6,5,83.3,2,Matches
Kingsley Ehizibue,nl NED,DF,Köln,25-264,1995,6.8,398,23,105,189,117,8,324,11,19,57.9,11,0,194,1007,594,30,9,0,7,7,238,194,81.5,20,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,24-136,1996,16.5,1270,182,753,593,18,11,1244,0,0,,0,0,849,4310,2165,29,0,0,2,3,865,856,99.0,3,Matches
Breel Embolo,ch SUI,"FW,MF",M'Gladbach,23-365,1997,11.4,508,5,42,279,220,69,493,31,47,66.0,34,5,367,1473,881,47,14,14,44,41,630,385,61.1,113,Matches
Keita Endo,jp JPN,"MF,FW",Union Berlin,23-083,1997,1.3,39,0,8,17,20,6,39,0,2,0.0,0,0,21,157,86,5,3,1,1,2,39,20,51.3,1,Matches
Wataru Endo,jp JPN,MF,Stuttgart,28-004,1993,20.0,1352,90,434,835,168,15,1337,18,27,66.7,21,1,887,4434,2588,90,20,1,15,38,949,879,92.6,27,Matches
Patrick Erras,de GER,"FW,MF",Werder Bremen,26-023,1995,0.2,28,0,9,15,6,1,28,0,0,,0,0,15,90,33,0,0,0,0,0,21,21,100.0,4,Matches
Ralf Fährmann,de GER,GK,Schalke 04,32-139,1988,12.5,537,433,533,7,0,0,385,0,0,,0,0,239,1113,599,0,0,0,0,0,233,233,100.0,0,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,23-157,1997,20.0,1322,225,781,576,63,17,1273,14,15,93.3,14,0,810,4600,2493,53,5,2,8,13,847,815,96.2,6,Matches
Edimilson Fernandes,ch SUI,"MF,DF",Mainz 05,24-304,1996,8.6,427,35,134,225,94,3,392,4,6,66.7,4,0,253,1059,438,12,5,0,6,15,268,239,89.2,12,Matches
Alfreð Finnbogason,is ISL,FW,Augsburg,32-012,1989,4.6,192,4,26,96,82,19,186,5,7,71.4,5,0,123,551,283,11,1,0,14,8,266,141,53.0,48,Matches
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,29-113,1991,10.4,460,3,21,219,254,51,422,15,19,78.9,15,0,309,1337,624,41,18,6,22,22,531,349,65.7,99,Matches
Philipp Förster,de GER,"MF,FW",Stuttgart,26-009,1995,5.7,290,3,43,156,121,23,280,7,11,63.6,7,0,212,1415,859,41,15,5,16,10,270,215,79.6,33,Matches
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23-042,1998,2.1,164,10,52,91,27,2,149,3,4,75.0,3,0,108,394,152,6,1,1,2,3,113,109,96.5,5,Matches
Raphael Framberger,de GER,DF,Augsburg,25-160,1995,9.1,548,49,236,225,130,7,446,8,20,40.0,8,0,241,1673,1045,39,14,4,7,10,261,233,89.3,19,Matches
Marco Friedl,at AUT,DF,Werder Bremen,22-334,1998,19.0,1279,154,631,655,63,2,1202,6,11,54.5,6,0,822,4227,2325,68,5,1,4,5,838,827,98.7,1,Matches
Marvin Friedrich,de GER,DF,Union Berlin,25-062,1995,20.0,1268,152,725,569,86,24,1240,9,14,64.3,10,1,800,4703,2610,46,13,0,10,3,890,847,95.2,12,Matches
Jeremie Frimpong,nl NED,FW,Leverkusen,20-065,2000,0.2,13,0,3,6,6,2,13,1,1,100.0,1,0,11,136,123,3,2,1,0,0,14,11,78.6,0,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,28-004,1993,3.4,126,5,10,65,56,18,122,2,3,66.7,2,0,53,186,108,6,1,2,10,5,169,89,52.7,35,Matches
Mijat Gaćinović,rs SRB,"DF,MF",Hoffenheim,26-005,1995,7.6,467,19,113,193,186,20,401,6,19,31.6,9,1,244,1023,593,24,9,0,10,11,296,250,84.5,33,Matches
Christian Gebauer,at AUT,"MF,FW",Arminia,27-055,1993,4.0,142,15,45,58,48,11,139,2,3,66.7,2,1,72,395,204,9,3,2,3,7,127,78,61.4,18,Matches
Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,34-051,1986,19.0,1068,77,372,489,246,23,885,1,7,14.3,1,0,508,1933,973,46,12,2,12,8,661,566,85.6,37,Matches
