player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Javairô Dilrosun,nl NED,FW,Hertha BSC,22-236,1998,3.0,6,4,1,1,4,2,4,50.0,2,52,18,34.6,13,18,21,5,0,0,5,5,11,1,0,Matches
Eren Dinkçi,de GER,FW,Werder Bremen,19-062,2001,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,2,0,0,0,0,0,0,0,1,0,Matches
Ritsu Doan,jp JPN,"MF,FW",Arminia,22-242,1998,17.9,39,27,12,20,7,10,33,30.3,23,333,119,35.7,90,165,78,35,2,0,33,15,54,7,0,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,29-261,1991,0.7,2,0,1,0,1,1,1,100.0,0,11,4,36.4,3,4,4,0,0,0,0,0,2,0,0,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,31-258,1989,9.1,4,4,2,2,0,1,4,25.0,3,89,31,34.8,4,45,40,7,1,0,6,2,6,8,0,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,29-344,1991,8.1,11,5,4,5,2,5,8,62.5,3,100,38,38.0,32,52,16,18,3,0,15,12,23,20,0,Matches
Dominick Drexler,de GER,"MF,FW",Köln,30-263,1990,8.4,23,16,9,12,2,6,22,27.3,16,166,56,33.7,55,67,44,14,3,0,11,8,31,8,0,Matches
Ondrej Duda,sk SVK,"FW,MF",Köln,26-070,1994,16.7,33,20,12,18,3,7,33,21.2,26,321,87,27.1,57,189,75,19,2,0,17,12,45,16,0,Matches
Erik Durm,de GER,DF,Eint Frankfurt,28-277,1992,10.1,13,11,7,5,1,4,17,23.5,13,134,43,32.1,46,56,32,19,4,0,15,14,27,17,0,Matches
Johannes Eggestein,de GER,"FW,MF",Werder Bremen,22-281,1998,0.4,0,0,0,0,0,0,1,0.0,1,15,5,33.3,3,5,7,0,0,0,0,0,0,2,0,Matches
Maximilian Eggestein,de GER,MF,Werder Bremen,24-067,1996,19.0,31,19,12,15,4,8,26,30.8,18,248,87,35.1,103,108,37,33,0,0,33,25,56,28,0,Matches
Lilian Egloff,de GER,MF,Stuttgart,18-177,2002,0.2,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
Kingsley Ehizibue,nl NED,DF,Köln,25-264,1995,6.8,20,11,12,7,1,6,10,60.0,4,104,34,32.7,33,57,14,16,2,0,14,4,24,21,0,Matches
