,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
154,154,Sebastian Griesbeck,de GER,MF,Union Berlin,30-133,1990,17,7,751,8.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.5,0.05,0.0,0.06,0.05,0.06,Matches
155,155,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,27-312,1993,20,18,1498,16.6,7,5,4,3,3,1,0,0.42,0.3,0.72,0.24,0.54,5.5,3.2,3.4,6.6,0.33,0.21,0.53,0.19,0.4,Matches
156,156,Florian Grillitsch,at AUT,MF,Hoffenheim,25-190,1995,12,8,654,7.3,2,0,2,0,0,3,1,0.28,0.0,0.28,0.28,0.28,1.4,1.4,1.0,2.3,0.19,0.13,0.32,0.19,0.32,Matches
157,157,Christian Groß,de GER,"MF,DF",Werder Bremen,32-005,1989,13,10,883,9.8,0,1,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1,0.2,0.2,0.5,0.7,0.02,0.05,0.08,0.02,0.08,Matches
158,158,Ilia Gruev,bg BUL,FW,Werder Bremen,20-283,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
159,159,Carlos Gruezo,ec ECU,MF,Augsburg,25-300,1995,20,18,1535,17.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.8,0.01,0.03,0.04,0.01,0.04,Matches
160,160,Mattéo Guendouzi,fr FRA,MF,Hertha BSC,21-305,1999,15,13,1237,13.7,2,0,2,0,0,3,0,0.15,0.0,0.15,0.15,0.15,0.7,0.7,0.8,1.5,0.05,0.06,0.11,0.05,0.11,Matches
161,161,Raphaël Guerreiro,pt POR,DF,Dortmund,27-053,1993,17,15,1325,14.7,2,7,2,0,0,1,0,0.14,0.48,0.61,0.14,0.61,2.1,2.1,4.5,6.5,0.14,0.3,0.44,0.14,0.44,Matches
162,162,Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,30-147,1990,12,6,574,6.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03,Matches
163,163,Péter Gulácsi,hu HUN,GK,RB Leipzig,30-283,1990,21,21,1890,21.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
164,164,Manuel Gulde,de GER,DF,Freiburg,30-001,1991,16,13,1126,12.5,1,0,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08,0.9,0.9,0.0,0.9,0.07,0.0,0.07,0.07,0.07,Matches
165,165,Robert Gumny,pl POL,DF,Augsburg,22-254,1998,13,6,597,6.6,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.04,0.02,0.05,0.04,0.05,Matches
166,166,Christian Günter,de GER,DF,Freiburg,27-351,1993,20,20,1800,20.0,0,2,0,0,0,0,0,0.0,0.1,0.1,0.0,0.1,0.5,0.5,3.2,3.7,0.02,0.16,0.19,0.02,0.19,Matches
167,167,Janik Haberer,de GER,"MF,FW",Freiburg,26-317,1994,5,2,196,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.11,0.0,0.11,0.11,0.11,Matches
168,168,Alexander Hack,de GER,DF,Mainz 05,27-158,1993,12,11,984,10.9,1,0,1,0,0,1,0,0.09,0.0,0.09,0.09,0.09,0.2,0.2,0.4,0.7,0.02,0.04,0.06,0.02,0.06,Matches
169,169,André Hahn,de GER,"FW,MF",Augsburg,30-184,1990,17,13,1049,11.7,4,1,4,0,0,1,0,0.34,0.09,0.43,0.34,0.43,2.6,2.6,0.6,3.2,0.22,0.05,0.27,0.22,0.27,Matches
170,170,Amadou Haidara,ml MLI,"MF,FW",RB Leipzig,23-013,1998,19,13,1116,12.4,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,2.8,2.8,1.2,4.0,0.23,0.1,0.33,0.23,0.33,Matches
171,171,Erling Håland,no NOR,FW,Dortmund,20-207,2000,15,14,1271,14.1,14,3,13,1,2,2,0,0.99,0.21,1.2,0.92,1.13,12.2,10.7,3.0,13.6,0.86,0.21,1.08,0.75,0.97,Matches
172,172,Marcel Halstenberg,de GER,DF,RB Leipzig,29-139,1991,15,12,1048,11.6,2,1,1,1,1,2,0,0.17,0.09,0.26,0.09,0.17,1.3,0.5,0.5,1.0,0.11,0.04,0.15,0.04,0.09,Matches
173,173,Amine Harit,ma MAR,"MF,FW",Schalke 04,23-240,1997,15,13,1043,11.6,1,5,1,0,0,2,0,0.09,0.43,0.52,0.09,0.52,0.5,0.5,3.3,3.8,0.04,0.29,0.33,0.04,0.33,Matches
174,174,Marcel Hartel,de GER,MF,Arminia,25-025,1996,19,19,1596,17.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.1,2.0,0.05,0.06,0.11,0.05,0.11,Matches
175,175,Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,37-026,1984,16,16,1348,15.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.01,0.0,0.01,0.01,0.01,Matches
176,176,Thorgan Hazard,be BEL,"FW,DF",Dortmund,27-321,1993,5,2,165,1.8,1,0,1,0,0,0,0,0.55,0.0,0.55,0.55,0.55,0.3,0.3,0.0,0.3,0.17,0.01,0.18,0.17,0.18,Matches
177,177,Jonas Hector,de GER,MF,Köln,30-262,1990,9,6,513,5.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.04,0.04,0.08,0.04,0.08,Matches
178,178,Hwang Hee-chan,kr KOR,"FW,MF",RB Leipzig,25-018,1996,8,0,150,1.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.27,0.05,0.32,0.27,0.32,Matches
179,179,Dominique Heintz,de GER,DF,Freiburg,27-182,1993,11,8,743,8.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.03,0.01,0.03,0.03,0.03,Matches
180,180,Benjamin Henrichs,de GER,"MF,DF",RB Leipzig,23-356,1997,7,3,348,3.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.03,0.04,0.07,0.03,0.07,Matches
181,181,Lucas Hernández,fr FRA,DF,Bayern Munich,24-365,1996,12,10,879,9.8,0,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,0.7,0.7,0.4,1.2,0.07,0.04,0.12,0.07,0.12,Matches
182,182,Patrick Herrmann,de GER,FW,M'Gladbach,30-001,1991,19,9,799,8.9,0,2,0,0,0,3,0,0.0,0.23,0.23,0.0,0.23,2.4,2.4,1.2,3.7,0.27,0.14,0.41,0.27,0.41,Matches
183,183,Martin Hinteregger,at AUT,DF,Eint Frankfurt,28-159,1992,20,20,1762,19.6,1,1,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,1.2,1.2,0.4,1.6,0.06,0.02,0.08,0.06,0.08,Matches
184,184,Marwin Hitz,ch SUI,GK,Dortmund,33-148,1987,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
185,185,Nicolas Höfler,de GER,MF,Freiburg,30-341,1990,19,18,1649,18.3,1,2,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,0.8,0.8,0.9,1.7,0.04,0.05,0.09,0.04,0.09,Matches
