player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Ralf Fährmann,de GER,GK,Schalke 04,32-139,1988,12.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,23-157,1997,20.0,1,7,2,28.6,0.35,0.10,0.14,0.50,6.7,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Matches
Edimilson Fernandes,ch SUI,"MF,DF",Mainz 05,24-304,1996,8.6,0,11,3,27.3,1.28,0.35,0.00,0.00,24.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Alfreð Finnbogason,is ISL,FW,Augsburg,32-012,1989,4.6,0,9,6,66.7,1.95,1.30,0.00,0.00,14.0,0,0,1,2.2,1.5,0.16,-2.2,-1.5,Matches
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,29-113,1991,10.4,4,19,6,31.6,1.82,0.57,0.16,0.50,17.9,0,1,2,3.5,2.0,0.11,+0.5,+1.0,Matches
Philipp Förster,de GER,"MF,FW",Stuttgart,26-009,1995,5.7,1,10,5,50.0,1.74,0.87,0.10,0.20,15.3,0,0,0,2.3,2.3,0.23,-1.3,-1.3,Matches
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23-042,1998,2.1,0,2,1,50.0,0.97,0.48,0.00,0.00,17.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Raphael Framberger,de GER,DF,Augsburg,25-160,1995,9.1,0,1,1,100.0,0.11,0.11,0.00,0.00,24.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Marco Friedl,at AUT,DF,Werder Bremen,22-334,1998,19.0,0,6,1,16.7,0.32,0.05,0.00,0.00,30.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Marvin Friedrich,de GER,DF,Union Berlin,25-062,1995,20.0,4,15,5,33.3,0.75,0.25,0.27,0.80,12.0,0,0,0,1.0,1.0,0.06,+3.0,+3.0,Matches
Jeremie Frimpong,nl NED,FW,Leverkusen,20-065,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,28-004,1993,3.4,4,11,5,45.5,3.24,1.47,0.18,0.40,14.0,0,2,2,3.0,1.5,0.13,+1.0,+0.5,Matches
Mijat Gaćinović,rs SRB,"DF,MF",Hoffenheim,26-005,1995,7.6,0,8,1,12.5,1.05,0.13,0.00,0.00,14.6,0,0,0,1.4,1.4,0.18,-1.4,-1.4,Matches
Christian Gebauer,at AUT,"MF,FW",Arminia,27-055,1993,4.0,0,5,2,40.0,1.25,0.50,0.00,0.00,17.4,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
