player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Klauss,br BRA,FW,Hoffenheim,23-349,1997,0.6,3,5.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Philipp Klement,de GER,"MF,FW",Stuttgart,28-157,1992,2.7,22,8.05,9,11,0,1,1,0,4,1.46,2,2,0,0,0,0,0,Matches
Mateo Klimowicz,ar ARG,"FW,MF",Stuttgart,20-222,2000,9.4,28,2.98,17,0,5,2,3,1,7,0.74,2,0,2,0,2,1,0,Matches
Fabian Klos,de GER,FW,Arminia,33-073,1987,18.1,32,1.77,27,0,0,1,4,0,3,0.17,3,0,0,0,0,0,0,Matches
Lukas Klostermann,de GER,DF,RB Leipzig,24-256,1996,6.7,9,1.34,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0,Matches
Justin Kluivert,nl NED,FW,RB Leipzig,21-284,1999,3.8,8,2.09,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lukas Klünter,de GER,DF,Hertha BSC,24-263,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Robin Knoche,de GER,DF,Union Berlin,28-267,1992,20.0,5,0.25,2,1,0,1,0,1,1,0.05,1,0,0,0,0,0,0,Matches
Gregor Kobel,ch SUI,GK,Stuttgart,23-069,1997,20.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Dominik Kohr,de GER,"MF,FW",Eint Frankfurt,27-013,1994,2.9,4,1.38,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Dominik Kohr,de GER,MF,Mainz 05,27-013,1994,3.2,4,1.25,3,0,0,1,0,0,1,0.31,0,0,0,1,0,0,0,Matches
Sead Kolašinac,ba BIH,DF,Schalke 04,27-238,1993,4.8,8,1.67,6,0,2,0,0,0,1,0.21,1,0,0,0,0,0,0,Matches
Ibrahima Konaté,fr FRA,DF,RB Leipzig,21-264,1999,4.5,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Filip Kostić,rs SRB,DF,Eint Frankfurt,28-104,1992,14.2,54,3.81,36,12,0,4,2,0,13,0.92,8,3,0,1,1,0,0,Matches
Nianzou Kouassi,fr FRA,DF,Bayern Munich,18-251,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,29-239,1991,15.7,59,3.76,42,1,6,3,6,1,9,0.57,6,0,1,0,1,1,0,Matches
Christoph Kramer,de GER,MF,M'Gladbach,29-360,1991,15.8,21,1.33,14,1,1,0,3,2,1,0.06,0,0,0,0,0,1,0,Matches
Max Kruse,de GER,"MF,FW",Union Berlin,32-331,1988,8.0,31,3.86,25,4,0,2,0,0,10,1.24,9,0,0,1,0,0,0,Matches
Lukas Kübler,de GER,DF,Freiburg,28-167,1992,5.0,7,1.40,5,2,0,0,0,0,1,0.20,1,0,0,0,0,0,0,Matches
Pierre Kunde,cm CMR,MF,Mainz 05,25-202,1995,5.7,8,1.40,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fabian Kunze,de GER,MF,Arminia,22-244,1998,8.2,7,0.85,4,0,2,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ahmed Kutucu,tr TUR,"FW,MF",Schalke 04,20-349,2000,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Maxence Lacroix,fr FRA,DF,Wolfsburg,20-313,2000,17.1,7,0.41,4,0,0,2,0,1,2,0.12,1,0,0,1,0,0,0,Matches
Stefan Lainer,at AUT,DF,M'Gladbach,28-170,1992,17.9,30,1.67,21,2,2,1,3,1,3,0.17,1,0,0,0,2,0,0,Matches
Michael Langer,at AUT,GK,Schalke 04,36-038,1985,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Danny Latza,de GER,MF,Mainz 05,31-068,1989,13.9,25,1.80,15,7,1,1,1,0,2,0.14,2,0,0,0,0,0,0,Matches
Valentino Lazaro,at AUT,"DF,FW",M'Gladbach,24-326,1996,4.2,9,2.14,6,2,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Mathew Leckie,au AUS,"FW,MF",Hertha BSC,30-009,1991,2.2,7,3.18,6,0,0,0,1,0,1,0.45,1,0,0,0,0,0,0,Matches
Christopher Lenz,de GER,DF,Union Berlin,26-144,1994,17.5,32,1.82,28,1,1,1,0,1,5,0.28,4,0,0,0,0,1,0,Matches
Robert Lewandowski,pl POL,FW,Bayern Munich,32-176,1988,17.7,52,2.94,39,1,3,5,4,0,12,0.68,9,0,1,0,2,0,0,Matches
Philipp Lienhart,at AUT,DF,Freiburg,24-217,1996,20.0,8,0.40,6,1,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Dimitris Limnios,gr GRE,"MF,FW",Köln,22-262,1998,3.7,5,1.35,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Eduard Löwen,de GER,"MF,DF",Hertha BSC,24-016,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jan Luca Schuler,de GER,FW,Schalke 04,21-328,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Anderson Lucoqui,ao ANG,DF,Arminia,23-222,1997,9.1,6,0.66,5,0,0,1,0,0,1,0.11,1,0,0,0,0,0,0,Matches
Kilian Ludewig,de GER,DF,Schalke 04,20-345,2000,5.8,9,1.56,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Dodi Lukebakio,be BEL,"FW,MF",Hertha BSC,23-142,1997,15.3,33,2.16,27,1,4,1,0,0,4,0.26,4,0,0,0,0,0,0,Matches
Andreas Luthe,de GER,GK,Union Berlin,33-340,1987,19.8,2,0.10,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Tim Maciejewski,de GER,MF,Union Berlin,19-345,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Arne Maier,de GER,MF,Arminia,22-036,1999,1.2,2,1.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Arne Maier,de GER,MF,Hertha BSC,22-036,1999,0.3,2,6.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Yunus Mallı,tr TUR,MF,Wolfsburg,28-355,1992,0.6,2,3.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Orel Mangala,be BEL,MF,Stuttgart,22-332,1998,19.0,44,2.32,34,0,3,1,4,2,4,0.21,3,0,0,0,0,1,0,Matches
Omar Marmoush,eg EGY,FW,Wolfsburg,22-006,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Aarón Martín,es ESP,DF,Mainz 05,23-297,1997,2.9,5,1.72,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
