player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Rodrigo Ely,br BRA,DF,Alavés,27-102,1993,5.2,3,0.58,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Emerson,br BRA,DF,Betis,22-030,1999,17.2,36,2.09,31,3,0,0,1,1,2,0.12,2,0,0,0,0,0,0,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,23-257,1997,14.8,22,1.49,11,0,2,3,3,3,6,0.41,1,0,1,1,2,1,0,Matches
Sergi Enrich,es ESP,FW,Eibar,30-353,1990,5.9,10,1.70,7,0,0,2,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Dani Escriche,es ESP,"FW,MF",Huesca,22-326,1998,2.9,9,3.06,6,0,1,0,1,1,2,0.68,1,0,1,0,0,0,0,Matches
Sergio Escudero,es ESP,DF,Sevilla,31-164,1989,3.2,7,2.19,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alfonso Espino,uy URU,DF,Cádiz,29-039,1992,17.1,14,0.82,11,2,1,0,0,0,3,0.18,2,0,1,0,0,0,0,Matches
Esquerdo,es ESP,MF,Valencia,22-042,1999,2.6,3,1.17,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Pervis Estupiñán,ec ECU,DF,Villarreal,23-023,1998,7.7,22,2.85,18,0,1,1,2,0,3,0.39,2,0,0,0,1,0,0,Matches
Xabier Etxeita,es ESP,DF,Getafe,33-105,1987,9.8,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Edu Expósito,es ESP,MF,Eibar,24-196,1996,18.7,58,3.11,36,13,4,1,3,1,3,0.16,2,0,0,1,0,0,0,Matches
Fali,es ESP,"DF,MF",Cádiz,27-185,1993,16.1,11,0.68,10,0,1,0,0,0,1,0.06,1,0,0,0,0,0,0,Matches
Ansu Fati,es ESP,FW,Barcelona,18-105,2002,4.8,19,3.97,12,1,1,0,5,0,2,0.42,0,0,1,0,1,0,0,Matches
Nabil Fekir,fr FRA,"MF,FW",Betis,27-210,1993,18.3,77,4.22,41,10,8,6,12,0,11,0.60,9,1,0,0,1,0,0,Matches
Felipe,br BRA,DF,Atlético Madrid,31-273,1989,11.5,2,0.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
João Félix,pt POR,FW,Atlético Madrid,21-095,1999,11.8,35,2.95,24,0,4,4,3,0,8,0.68,5,0,1,1,1,0,0,Matches
Aitor Fernández,es ESP,GK,Levante,29-286,1991,19.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Álex Fernández,es ESP,MF,Cádiz,28-121,1992,17.3,38,2.20,18,19,0,0,1,0,4,0.23,3,1,0,0,0,0,0,Matches
Álvaro Fernández,es ESP,GK,Huesca,22-306,1998,11.0,1,0.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Andrés Fernández,es ESP,GK,Huesca,34-058,1986,11.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Augusto Fernández,ar ARG,MF,Cádiz,34-309,1986,2.7,1,0.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Carlos Fernández,es ESP,FW,Real Sociedad,24-267,1996,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Carlos Fernández,es ESP,FW,Sevilla,24-267,1996,1.6,5,3.15,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Joaquín Fernández,es ESP,DF,Valladolid,24-258,1996,13.0,7,0.54,5,0,0,1,1,0,3,0.23,1,0,0,1,1,0,0,Matches
Fernando,br BRA,MF,Sevilla,33-203,1987,17.0,19,1.12,19,0,0,0,0,0,5,0.29,5,0,0,0,0,0,0,Matches
David Ferreiro,es ESP,"FW,MF",Huesca,32-318,1988,14.5,53,3.66,26,20,2,1,4,0,4,0.28,3,1,0,0,0,0,0,Matches
Facundo Ferreyra,ar ARG,FW,Celta Vigo,29-336,1991,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fidel,es ESP,"MF,DF",Elche,31-109,1989,13.4,31,2.31,20,7,1,0,3,0,4,0.30,3,1,0,0,0,0,0,Matches
Junior Firpo,es ESP,DF,Barcelona,24-175,1996,1.7,6,3.60,5,0,0,0,0,1,1,0.60,1,0,0,0,0,0,0,Matches
Kingsley Fobi,gh GHA,DF,Granada,22-146,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ramón Folch,es ESP,MF,Elche,31-132,1989,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
José Fontán,es ESP,DF,Celta Vigo,21-002,2000,3.8,2,0.53,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Dimitri Foulquier,fr FRA,DF,Granada,27-327,1993,16.8,16,0.95,13,1,0,1,1,0,3,0.18,2,0,0,1,0,0,0,Matches
Juan Foyth,ar ARG,"MF,DF",Villarreal,23-032,1998,4.0,3,0.75,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Jorge de Frutos,es ESP,MF,Levante,23-359,1997,10.0,32,3.20,26,3,1,0,2,0,9,0.90,7,1,0,0,1,0,0,Matches
Ramiro Funes Mori,ar ARG,DF,Villarreal,29-345,1991,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Javi Galán,es ESP,DF,Huesca,26-086,1994,20.3,37,1.82,28,3,3,0,3,0,3,0.15,2,1,0,0,0,0,0,Matches
Enric Gallego,es ESP,FW,Osasuna,34-154,1986,6.7,13,1.93,11,0,0,0,2,0,1,0.15,1,0,0,0,0,0,0,Matches
Kévin Gameiro,fr FRA,FW,Valencia,33-280,1987,5.6,8,1.43,5,0,0,1,2,0,1,0.18,1,0,0,0,0,0,0,Matches
Aleix García,es ESP,MF,Eibar,23-230,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Borja García,es ESP,"MF,FW",Huesca,30-103,1990,12.2,37,3.03,32,0,2,1,2,0,0,0.00,0,0,0,0,0,0,0,Matches
Dani García,es ESP,MF,Athletic Club,30-265,1990,13.5,10,0.74,8,1,0,0,0,1,1,0.07,1,0,0,0,0,0,0,Matches
