player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Jaume Doménech,es ESP,GK,Valencia,30-100,1990,22.0,711,424,287,79,0,41,22,0,0,0,0,0,245,20,446,41,531,0,1,74,486,5,14,4,3,Matches
John Donald,es ESP,DF,Elche,20-167,2000,0.6,20,20,0,0,0,2,1,0,0,0,0,0,18,1,1,2,17,1,0,0,19,0,0,0,0,Matches
Idrissa Doumbia,ci CIV,MF,Huesca,22-305,1998,3.7,164,160,4,4,0,24,3,0,0,0,0,0,136,19,9,37,120,6,0,1,150,0,2,1,1,Matches
Domingos Duarte,pt POR,DF,Granada,25-340,1995,17.3,614,585,29,27,0,75,27,2,0,0,0,0,377,68,169,40,491,53,2,5,480,3,13,12,9,Matches
Óscar Duarte,cr CRC,DF,Levante,31-255,1989,10.9,537,519,18,17,0,43,19,1,0,0,0,0,380,41,116,104,386,29,0,4,471,0,8,3,2,Matches
Rubén Duarte,es ESP,DF,Alavés,25-118,1995,19.1,934,709,225,41,3,117,33,35,15,6,8,0,386,191,357,613,64,57,169,2,646,3,34,21,27,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,26-322,1994,11.7,701,672,29,20,0,63,21,5,0,0,0,0,527,42,132,57,566,48,9,2,602,2,16,2,4,Matches
Rodrigo Ely,br BRA,DF,Alavés,27-102,1993,5.2,159,146,13,13,0,15,7,0,0,0,0,0,83,31,45,15,114,21,0,2,125,3,8,0,1,Matches
Emerson,br BRA,DF,Betis,22-030,1999,17.2,1036,850,186,24,0,103,10,31,1,0,0,0,648,215,173,103,711,39,161,5,838,3,16,23,39,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,23-257,1997,14.8,258,244,14,0,1,71,2,10,0,0,0,0,131,79,48,148,17,42,2,4,180,1,5,4,13,Matches
Sergi Enrich,es ESP,FW,Eibar,30-353,1990,5.9,170,161,9,0,0,64,5,2,1,1,0,0,87,33,50,8,106,19,0,8,123,3,2,2,6,Matches
Dani Escriche,es ESP,"FW,MF",Huesca,22-326,1998,2.9,83,81,2,0,0,18,0,1,0,0,0,0,54,18,11,3,72,5,0,0,66,1,2,1,3,Matches
Sergio Escudero,es ESP,DF,Sevilla,31-164,1989,3.2,204,169,35,7,0,23,3,9,0,0,0,0,125,36,43,137,22,13,28,0,167,1,5,2,7,Matches
Alfonso Espino,uy URU,DF,Cádiz,29-039,1992,17.1,574,427,147,12,0,63,18,33,0,0,0,0,230,118,226,334,59,31,135,0,387,4,15,14,23,Matches
Esquerdo,es ESP,MF,Valencia,22-042,1999,2.6,97,95,2,1,0,18,5,2,0,0,0,0,69,13,15,85,8,2,1,0,77,1,3,1,3,Matches
Pervis Estupiñán,ec ECU,DF,Villarreal,23-023,1998,7.7,435,375,60,3,0,52,17,38,0,0,0,0,271,95,69,303,51,19,57,2,341,0,4,10,24,Matches
Xabier Etxeita,es ESP,DF,Getafe,33-105,1987,9.8,288,273,15,14,0,32,13,0,0,0,0,0,146,35,107,91,150,34,1,0,194,0,13,4,5,Matches
Edu Expósito,es ESP,MF,Eibar,24-196,1996,18.7,766,728,38,14,1,131,33,18,20,10,9,1,475,120,171,129,548,63,3,3,568,0,22,25,22,Matches
Fali,es ESP,"DF,MF",Cádiz,27-185,1993,16.1,394,361,33,25,2,39,22,10,0,0,0,0,189,53,152,90,255,34,6,0,267,2,11,6,6,Matches
Ansu Fati,es ESP,FW,Barcelona,18-105,2002,4.8,205,196,9,1,1,35,0,5,5,3,0,0,177,15,13,15,183,2,1,3,174,0,0,5,7,Matches
Nabil Fekir,fr FRA,"MF,FW",Betis,27-210,1993,18.3,838,740,98,24,2,151,38,34,48,15,22,2,644,66,128,689,117,10,9,1,684,4,15,8,17,Matches
Felipe,br BRA,DF,Atlético Madrid,31-273,1989,11.5,586,572,14,11,1,61,13,1,0,0,0,0,435,32,119,79,442,38,3,4,493,2,11,3,1,Matches
João Félix,pt POR,FW,Atlético Madrid,21-095,1999,11.8,470,459,11,2,7,116,9,6,1,1,0,0,378,43,49,28,419,7,3,2,388,1,3,9,13,Matches
Aitor Fernández,es ESP,GK,Levante,29-286,1991,19.0,612,426,186,46,0,33,17,0,0,0,0,0,353,41,218,42,451,2,0,100,456,1,10,8,1,Matches
Álex Fernández,es ESP,MF,Cádiz,28-121,1992,17.3,714,584,130,51,0,119,39,34,67,24,31,6,422,91,201,141,524,25,6,2,526,4,10,15,22,Matches
Álvaro Fernández,es ESP,GK,Huesca,22-306,1998,11.0,421,297,124,36,0,41,12,0,0,0,0,0,224,36,161,53,306,0,0,53,312,1,13,1,0,Matches
Andrés Fernández,es ESP,GK,Huesca,34-058,1986,11.0,395,286,109,27,0,60,13,0,0,0,0,0,205,11,179,32,298,0,0,48,266,4,17,1,2,Matches
Augusto Fernández,ar ARG,MF,Cádiz,34-309,1986,2.7,77,76,1,1,0,11,7,0,0,0,0,0,45,10,22,8,60,7,0,1,61,0,3,1,1,Matches
