player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Aritz Castro,es ESP,GK,Alavés,22-269,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Óscar Castro,es ESP,MF,Atlético Madrid,19-238,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Álex Centelles,es ESP,DF,Valencia,23-097,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
César,es ESP,MF,Elche,19-296,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Sofian Chakla,ma MAR,DF,Getafe,27-164,1993,3,270,90,13.6,3.0,3,90,3,0,,0,0.33,0,5,-5,-1.67,-1.35,0.6,4.3,-3.7,-1.22,-1.01,Matches
Sofian Chakla,ma MAR,DF,Villarreal,27-164,1993,1,13,13,0.7,0.1,0,,0,1,13,8,3.00,0,0,0,0.00,-0.41,0.3,0.1,+0.2,+1.14,+0.57,Matches
Chema,es ESP,"DF,MF",Getafe,28-347,1992,4,276,69,13.9,3.1,4,69,3,0,,13,0.50,2,5,-3,-0.98,-0.56,2.7,5.9,-3.2,-1.05,-0.81,Matches
Denis Cheryshev,ru RUS,MF,Valencia,30-049,1990,13,807,62,40.8,9.0,10,72,0,3,30,1,1.15,13,12,+1,+0.11,+0.34,11.1,12.8,-1.7,-0.19,+0.16,Matches
Chinchu,es ESP,DF,Getafe,18-345,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21-267,1999,17,707,42,35.7,7.9,6,70,1,11,26,1,1.71,9,8,+1,+0.13,-0.44,11.0,6.4,+4.6,+0.59,+0.03,Matches
Víctor Chust,es ESP,DF,Real Madrid,20-345,2000,1,5,5,0.3,0.1,0,,0,1,5,5,3.00,0,0,0,0.00,-0.91,0.0,0.0,0.0,+0.53,-0.06,Matches
Cifu,es ESP,DF,Elche,30-131,1990,6,317,53,16.8,3.5,3,70,2,3,36,11,0.33,4,7,-3,-0.85,-0.34,2.8,4.2,-1.5,-0.58,+0.45,Matches
Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2,180,90,9.1,2.0,2,90,2,0,,2,1.50,3,3,0,0.00,+0.75,2.4,3.0,-0.6,-0.30,+0.12,Matches
Jasper Cillessen,nl NED,GK,Valencia,31-297,1989,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Carlos Clerc,es ESP,DF,Levante,28-358,1992,20,"1,717",86,90.8,19.1,19,90,19,1,7,1,1.35,30,29,+1,+0.05,+0.57,25.4,25.8,-0.4,-0.02,+0.17,Matches
Coke,es ESP,DF,Levante,33-293,1987,8,327,41,17.3,3.6,4,70,0,4,12,12,1.38,5,6,-1,-0.28,-0.33,3.7,7.4,-3.7,-1.02,-1.20,Matches
Francis Coquelin,fr FRA,MF,Villarreal,29-276,1991,14,497,36,25.1,5.5,6,60,0,8,17,1,1.50,4,7,-3,-0.54,-1.27,6.6,4.5,+2.1,+0.38,-0.26,Matches
Asier Córdoba,es ESP,FW,Osasuna,20-319,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Iñigo Córdoba,es ESP,MF,Alavés,23-337,1997,1,31,31,1.6,0.3,0,,0,1,31,0,3.00,1,0,+1,+2.90,+3.41,0.6,0.0,+0.5,+1.59,+1.81,Matches
Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23-337,1997,3,95,32,5.0,1.1,1,58,0,2,19,10,1.00,1,2,-1,-0.95,-1.10,1.1,0.8,+0.2,+0.24,+0.10,Matches
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25-341,1995,20,"1,115",56,61.9,12.4,13,68,1,7,33,0,2.55,20,6,+14,+1.13,-0.97,16.0,10.5,+5.5,+0.44,-0.32,Matches
Rober Correa,es ESP,DF,Eibar,28-146,1992,9,671,75,33.9,7.5,8,82,6,1,16,7,1.11,6,5,+1,+0.13,+0.68,9.4,8.0,+1.4,+0.19,+0.66,Matches
Thierry Correia,pt POR,DF,Valencia,21-341,1999,15,"1,011",67,51.1,11.2,11,86,9,4,16,6,1.00,11,14,-3,-0.27,-0.36,12.9,14.5,-1.6,-0.14,+0.29,Matches
Antonio Cortés,es ESP,FW,Granada,20-303,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Diego Costa,es ESP,FW,Atlético Madrid,32-129,1988,7,208,30,11.6,2.3,2,59,0,5,18,0,2.43,5,0,+5,+2.16,+0.75,4.9,2.1,+2.8,+1.20,+0.72,Matches
Jaume Costa,es ESP,"DF,MF",Villarreal,32-332,1988,7,185,26,9.3,2.1,1,72,0,6,19,13,2.43,3,3,0,0.00,-0.45,3.4,2.3,+1.0,+0.50,-0.08,Matches
