player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Coke,es ESP,DF,Levante,33-293,1987,3.6,11,8,6,4,1,5,12,41.7,7,52,13,25.0,31,11,10,11,0,0,11,4,15,21,0,Matches
Francis Coquelin,fr FRA,MF,Villarreal,29-276,1991,5.5,15,7,2,11,2,4,8,50.0,4,74,22,29.7,21,44,9,7,2,0,5,11,26,5,0,Matches
Iñigo Córdoba,es ESP,MF,Alavés,23-337,1997,0.3,2,1,0,0,2,2,6,33.3,4,18,5,27.8,1,10,7,3,0,0,3,0,2,0,0,Matches
Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23-337,1997,1.1,0,0,0,0,0,0,4,0.0,4,23,7,30.4,6,7,10,3,0,0,3,1,1,1,0,Matches
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25-341,1995,12.4,13,13,4,6,3,3,20,15.0,17,227,66,29.1,47,102,78,22,1,0,21,7,20,5,0,Matches
Rober Correa,es ESP,DF,Eibar,28-146,1992,7.5,13,9,9,4,0,8,12,66.7,4,81,27,33.3,35,31,15,14,0,0,14,10,23,39,0,Matches
Thierry Correia,pt POR,DF,Valencia,21-341,1999,11.2,32,18,24,6,2,12,23,52.2,11,172,50,29.1,86,56,30,22,3,0,19,13,45,46,1,Matches
Diego Costa,es ESP,FW,Atlético Madrid,32-129,1988,2.3,1,0,1,0,0,1,3,33.3,2,30,6,20.0,3,18,9,1,0,0,1,0,1,2,0,Matches
Jaume Costa,es ESP,"DF,MF",Villarreal,32-332,1988,2.1,2,0,1,1,0,1,1,100.0,0,20,7,35.0,3,12,5,5,0,0,5,4,6,4,0,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,28-278,1992,22.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,1,0,0,1,0,0,0,4,Matches
Philippe Coutinho,br BRA,"MF,FW",Barcelona,28-246,1992,7.3,7,6,2,4,1,2,5,40.0,3,65,20,30.8,14,29,22,4,0,0,4,4,11,1,0,Matches
Juan Cruz Armada,es ESP,DF,Osasuna,28-200,1992,14.8,24,14,13,10,1,14,23,60.9,9,146,39,26.7,59,61,26,30,2,1,28,5,29,32,1,Matches
Sergio Cubero Ezcurra,es ESP,MF,Eibar,21-161,1999,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,Matches
Cucho,co COL,"FW,MF",Getafe,21-299,1999,12.8,17,9,1,13,3,1,16,6.3,15,239,61,25.5,23,129,87,15,1,0,14,4,21,6,0,Matches
Marc Cucurella,es ESP,MF,Getafe,22-206,1998,21.8,49,38,17,28,4,12,32,37.5,20,451,160,35.5,110,236,105,45,4,0,41,35,84,16,0,Matches
Patrick Cutrone,it ITA,FW,Valencia,23-041,1998,0.3,0,0,0,0,0,0,0,,0,6,2,33.3,1,1,4,0,0,0,0,0,0,0,0,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,23-274,1997,10.0,8,4,2,6,0,2,7,28.6,5,138,32,23.2,17,60,61,14,0,0,14,8,16,2,0,Matches
Sergiño Dest,us USA,DF,Barcelona,20-102,2000,11.3,20,12,17,2,1,8,17,47.1,9,154,41,26.6,79,41,34,25,2,0,23,6,26,14,0,Matches
