player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Idrissa Doumbia,ci CIV,MF,Huesca,22-305,1998,3.7,3,0,0,9,2,0,0,3,6,0,0,0,32,0,1,0.0,Matches
Domingos Duarte,pt POR,DF,Granada,25-340,1995,17.3,4,1,0,16,12,0,2,16,12,0,1,0,177,39,20,66.1,Matches
Óscar Duarte,cr CRC,DF,Levante,31-255,1989,10.9,2,0,0,16,4,2,1,15,3,0,1,0,80,39,23,62.9,Matches
Rubén Duarte,es ESP,DF,Alavés,25-118,1995,19.1,5,1,1,32,18,0,35,29,25,0,0,0,186,42,20,67.7,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,26-322,1994,11.7,4,0,0,12,16,0,5,1,6,0,1,0,130,28,25,52.8,Matches
Rodrigo Ely,br BRA,DF,Alavés,27-102,1993,5.2,1,0,0,8,2,0,0,2,3,0,0,0,50,16,2,88.9,Matches
Emerson,br BRA,DF,Betis,22-030,1999,17.2,6,1,0,25,43,2,31,42,33,0,0,1,150,26,15,63.4,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,23-257,1997,14.8,1,0,0,15,26,15,10,4,15,1,0,0,62,64,45,58.7,Matches
Sergi Enrich,es ESP,FW,Eibar,30-353,1990,5.9,0,0,0,15,9,5,2,2,7,1,0,0,39,38,47,44.7,Matches
Dani Escriche,es ESP,"FW,MF",Huesca,22-326,1998,2.9,2,0,0,8,5,1,1,2,4,0,0,0,18,4,14,22.2,Matches
Sergio Escudero,es ESP,DF,Sevilla,31-164,1989,3.2,1,0,0,4,5,0,9,2,6,0,0,0,25,7,4,63.6,Matches
Alfonso Espino,uy URU,DF,Cádiz,29-039,1992,17.1,3,0,0,18,12,1,33,22,31,0,0,0,148,20,29,40.8,Matches
Esquerdo,es ESP,MF,Valencia,22-042,1999,2.6,1,0,0,3,0,0,2,5,6,0,0,0,18,2,3,40.0,Matches
Pervis Estupiñán,ec ECU,DF,Villarreal,23-023,1998,7.7,0,0,0,10,12,4,38,16,16,1,0,0,88,5,11,31.3,Matches
Xabier Etxeita,es ESP,DF,Getafe,33-105,1987,9.8,3,0,0,14,2,0,0,9,6,0,0,1,111,18,24,42.9,Matches
Edu Expósito,es ESP,MF,Eibar,24-196,1996,18.7,4,0,0,21,19,0,18,19,19,0,0,0,236,24,29,45.3,Matches
Fali,es ESP,"DF,MF",Cádiz,27-185,1993,16.1,5,0,0,11,10,0,10,14,17,0,1,0,114,19,17,52.8,Matches
Ansu Fati,es ESP,FW,Barcelona,18-105,2002,4.8,1,0,0,6,11,2,5,1,3,2,0,0,20,2,4,33.3,Matches
Nabil Fekir,fr FRA,"MF,FW",Betis,27-210,1993,18.3,4,0,0,58,62,9,34,6,26,2,0,0,97,13,50,20.6,Matches
Felipe,br BRA,DF,Atlético Madrid,31-273,1989,11.5,3,0,0,19,9,0,1,20,13,0,0,1,123,39,10,79.6,Matches
João Félix,pt POR,FW,Atlético Madrid,21-095,1999,11.8,3,0,0,9,28,6,6,3,4,1,0,0,64,17,21,44.7,Matches
Aitor Fernández,es ESP,GK,Levante,29-286,1991,19.0,0,0,0,0,2,0,0,0,0,0,0,0,103,0,1,0.0,Matches
Álex Fernández,es ESP,MF,Cádiz,28-121,1992,17.3,1,0,0,9,19,1,34,16,10,0,0,0,143,18,17,51.4,Matches
Álvaro Fernández,es ESP,GK,Huesca,22-306,1998,11.0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,,Matches
Andrés Fernández,es ESP,GK,Huesca,34-058,1986,11.0,0,0,0,0,2,0,0,0,0,0,0,0,58,0,0,,Matches
Augusto Fernández,ar ARG,MF,Cádiz,34-309,1986,2.7,1,0,0,4,1,0,0,9,3,0,0,0,33,1,5,16.7,Matches
Carlos Fernández,es ESP,FW,Real Sociedad,24-267,1996,0.3,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,66.7,Matches
Carlos Fernández,es ESP,FW,Sevilla,24-267,1996,1.6,0,0,0,4,7,0,2,1,0,0,0,0,9,5,6,45.5,Matches
