player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Philippe Coutinho,br BRA,"MF,FW",Barcelona,28-246,1992,7.3,454,523,86.8,6951,1476,257,280,91.8,158,179,88.3,29,48,60.4,2,0.9,+1.1,7,40,15,2,44,Matches
Juan Cruz Armada,es ESP,DF,Osasuna,28-200,1992,14.8,402,565,71.2,7336,3859,179,210,85.2,170,230,73.9,48,102,47.1,0,0.1,-0.1,4,31,5,2,36,Matches
Sergio Cubero Ezcurra,es ESP,MF,Eibar,21-161,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Cucho,co COL,"FW,MF",Getafe,21-299,1999,12.8,272,403,67.5,4341,1187,147,191,77.0,84,134,62.7,26,47,55.3,3,1.0,+2.0,13,19,13,3,28,Matches
Marc Cucurella,es ESP,MF,Getafe,22-206,1998,21.8,589,822,71.7,9770,3169,321,390,82.3,202,268,75.4,54,115,47.0,1,1.7,-0.7,19,45,18,6,70,Matches
Patrick Cutrone,it ITA,FW,Valencia,23-041,1998,0.3,3,4,75.0,60,21,1,1,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,1,0,1,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,23-274,1997,10.0,467,574,81.4,7531,1878,258,294,87.8,166,202,82.2,36,53,67.9,2,2.1,-0.1,19,27,25,5,47,Matches
Sergiño Dest,us USA,DF,Barcelona,20-102,2000,11.3,619,701,88.3,9078,2590,360,389,92.5,222,244,91.0,21,33,63.6,1,1.7,-0.7,15,24,15,4,34,Matches
Deyverson,br BRA,FW,Alavés,29-281,1991,8.6,130,265,49.1,2696,906,62,113,54.9,40,83,48.2,24,51,47.1,2,1.1,+0.9,5,22,5,2,17,Matches
Abdoulay Diaby,ml MLI,MF,Getafe,29-268,1991,0.2,5,10,50.0,69,11,4,5,80.0,1,2,50.0,0,2,0.0,0,0.1,-0.1,1,0,0,0,0,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,24-056,1996,14.0,494,571,86.5,11661,3551,121,131,92.4,258,277,93.1,114,153,74.5,0,0.0,0.0,0,28,1,0,20,Matches
Víctor Díaz,es ESP,DF,Granada,32-246,1988,1.2,56,79,70.9,1221,570,17,19,89.5,25,30,83.3,14,28,50.0,0,0.1,-0.1,3,6,3,1,9,Matches
