,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,matches
7,Benoît Costil,fr FRA,GK,Bordeaux,33-225,1987,24,24,"2,160",24.0,30,1.25,93,66,71.0,9,5,10,11,45.8,4,3,1,0,25.0,Matches
8,Yehvann Diouf,fr FRA,GK,Reims,21-089,1999,2,1,135,1.5,1,0.67,5,5,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
9,Matthieu Dreyer,fr FRA,GK,Lorient,31-330,1989,5,5,450,5.0,7,1.4,18,13,72.2,3,1,1,1,20.0,2,2,0,0,0.0,Matches
10,Wuilker Faríñez,ve VEN,GK,Lens,22-364,1998,1,0,6,0.1,1,15.0,0,0,,0,0,0,0,,1,1,0,0,0.0,Matches
11,Alfred Gomis,sn SEN,GK,Dijon,27-161,1993,5,5,450,5.0,10,2.0,24,18,70.8,0,1,4,0,0.0,3,3,0,0,0.0,Matches
12,Alfred Gomis,sn SEN,GK,Rennes,27-161,1993,7,7,630,7.0,9,1.29,25,16,64.0,1,3,3,1,14.3,0,0,0,0,,Matches
13,Bingourou Kamara,sn SEN,GK,Strasbourg,24-115,1996,8,8,720,8.0,14,1.75,31,19,58.1,2,0,6,2,25.0,1,1,0,0,0.0,Matches
14,Eiji Kawashima,jp JPN,GK,Strasbourg,37-330,1983,16,16,"1,440",16.0,25,1.56,69,46,68.1,5,4,7,5,31.3,5,3,1,1,25.0,Matches
15,Alban Lafont,fr FRA,GK,Nantes,22-021,1999,24,24,"2,160",24.0,39,1.62,106,74,69.8,3,10,11,3,12.5,8,7,0,1,0.0,Matches
16,Gautier Larsonneur,fr FRA,GK,Brest,23-356,1997,23,23,"2,070",23.0,43,1.87,112,73,67.0,8,3,12,4,17.4,6,6,0,0,0.0,Matches
17,Jean-Louis Leca,fr FRA,GK,Lens,35-145,1985,24,24,"2,154",23.9,32,1.34,81,55,65.4,10,6,8,7,29.2,5,4,1,0,20.0,Matches
18,Benjamin Lecomte,fr FRA,GK,Monaco,29-293,1991,14,14,"1,260",14.0,20,1.43,39,21,53.8,9,2,3,3,21.4,2,2,0,0,0.0,Matches
19,Anthony Lopes,pt POR,GK,Lyon,30-135,1990,24,24,"2,160",24.0,20,0.83,70,55,75.7,15,7,2,9,37.5,6,3,2,1,40.0,Matches
20,Mike Maignan,fr FRA,GK,Lille,25-077,1995,24,24,"2,160",24.0,15,0.62,66,52,78.8,16,6,2,13,54.2,1,1,0,0,0.0,Matches
21,Radosław Majecki,pl POL,GK,Monaco,21-089,1999,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
