player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Kastriot Dermaku,al ALB,DF,Parma,29-029,1992,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Kiril Despodov,bg BUL,FW,Cagliari,24-094,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mattia Destro,it ITA,FW,Genoa,29-330,1991,9.2,12,1.31,6,0,2,2,0,2,1,0.11,1,0,0,0,0,0,0,Matches
Gerard Deulofeu,es ESP,FW,Udinese,26-337,1994,5.6,15,2.66,9,1,1,0,3,1,5,0.89,2,0,1,0,1,1,0,Matches
Jacopo Dezi,it ITA,"FW,MF",Parma,29-003,1992,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,32-146,1988,5.6,11,1.98,6,0,0,1,4,0,2,0.36,0,0,0,1,1,0,0,Matches
Samuel Di Carmine,it ITA,FW,Crotone,32-146,1988,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,27-193,1993,19.0,62,3.26,52,4,2,2,0,2,8,0.42,7,0,0,1,0,0,0,Matches
Giuseppe Di Serio,it ITA,"MF,FW",Benevento,19-208,2001,1.9,7,3.77,4,0,0,2,1,0,1,0.54,1,0,0,0,0,0,0,Matches
Amad Diallo,ci CIV,MF,Atalanta,18-217,2002,0.2,3,19.29,1,0,2,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Amadou Diawara,gn GUI,MF,Roma,23-211,1997,1.8,2,1.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Brahim Díaz,es ESP,"MF,FW",Milan,21-194,1999,7.7,31,4.00,15,2,4,2,8,0,7,0.90,3,1,2,0,1,0,0,Matches
Daan Dierckx,be BEL,DF,Parma,17-355,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
