player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Joel Asoro,se SWE,FW,Genoa,21-292,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21,"1,890",90,100.0,21.0,21,90,21,0,,0,1.29,31,32,-1,-0.05,,25.1,34.1,-9.0,-0.43,,Matches
Tommaso Augello,it ITA,DF,Sampdoria,26-167,1994,20,"1,733",87,91.7,19.3,20,87,17,0,,0,1.35,30,28,+2,+0.10,+1.82,24.0,31.5,-7.4,-0.39,+0.49,Matches
Lorenzo Avogadri,it ITA,GK,Sampdoria,19-176,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Kaan Ayhan,tr TUR,DF,Sassuolo,26-095,1994,14,695,50,36.8,7.7,6,85,5,8,23,7,2.07,12,6,+6,+0.78,+1.08,10.7,12.1,-1.4,-0.18,+0.08,Matches
Milan Badelj,hr CRO,MF,Genoa,31-354,1989,17,"1,297",76,68.6,14.4,16,80,9,1,10,3,1.29,17,15,+2,+0.14,+1.50,16.3,15.4,+0.9,+0.07,+1.55,Matches
Tiemoué Bakayoko,fr FRA,MF,Napoli,26-180,1994,17,"1,163",68,64.6,12.9,14,78,4,3,22,0,1.65,28,16,+12,+0.93,-0.63,23.7,15.3,+8.4,+0.65,-0.22,Matches
Keita Baldé,sn SEN,FW,Sampdoria,25-342,1995,10,496,50,26.2,5.5,5,78,1,5,22,1,1.70,10,6,+4,+0.73,+1.05,8.9,8.0,+1.0,+0.17,+0.82,Matches
Marco Ballarini,it ITA,MF,Udinese,19-322,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Botond Balogh,hu HUN,DF,Parma,18-252,2002,2,147,74,7.8,1.6,1,90,1,1,57,13,0.50,2,4,-2,-1.22,+0.07,0.8,5.3,-4.5,-2.77,-2.26,Matches
Abdoul Bane,it ITA,DF,Parma,19-329,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Mattia Bani,it ITA,DF,Genoa,27-065,1993,11,921,84,48.7,10.2,10,88,8,1,45,6,0.55,9,16,-7,-0.68,-0.68,8.0,15.7,-7.7,-0.75,-0.64,Matches
