player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Mattia De Sciglio,it ITA,DF,Juventus,28-116,1992,0.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,32-266,1988,14.2,2,0,0,20,12,0,23,11,9,0,0,0,118,17,17,50.0,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,29-241,1991,7.2,0,0,0,5,11,2,5,3,6,0,0,0,45,7,12,36.8,Matches
Alessandro Deiola,it ITA,MF,Cagliari,25-196,1995,0.7,0,0,0,0,1,0,1,0,1,0,0,0,3,0,1,0.0,Matches
Alessandro Deiola,it ITA,MF,Spezia,25-196,1995,4.0,1,0,0,6,5,0,3,2,6,0,0,0,35,3,6,33.3,Matches
Lorenzo Del Pinto,it ITA,MF,Benevento,30-241,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Cristian Dell'Orco,it ITA,DF,Spezia,27-003,1994,2.7,0,0,0,2,2,0,0,3,1,0,0,0,35,5,3,62.5,Matches
Merih Demiral,tr TUR,DF,Juventus,22-345,1998,6.2,0,0,0,6,1,1,0,6,9,0,0,0,57,19,3,86.4,Matches
Diego Demme,de GER,MF,Napoli,29-084,1991,8.3,3,0,0,12,19,1,5,10,21,0,0,0,87,4,10,28.6,Matches
Stefano Denswil,nl NED,DF,Bologna,27-282,1993,1.3,0,0,0,0,2,0,0,1,2,0,0,0,11,3,1,75.0,Matches
Fabio Depaoli,it ITA,DF,Benevento,23-295,1997,3.0,2,0,0,4,1,0,4,2,1,0,0,0,13,7,0,100.0,Matches
Fabio Depaoli,it ITA,DF,Atalanta,23-295,1997,2.1,0,0,0,5,1,0,1,1,1,0,0,0,9,3,2,60.0,Matches
Fabio Depaoli,it ITA,MF,Sampdoria,23-295,1997,0.9,0,0,0,5,2,2,1,0,0,0,0,0,5,0,4,0.0,Matches
