player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Douglas Costa,br BRA,"MF,FW",Juventus,30-152,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mamadou Coulibaly,sn SEN,MF,Udinese,22-010,1999,2.0,0,2,0,0.0,0.98,0.00,0.00,,20.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Domenico Criscito,it ITA,DF,Genoa,34-045,1986,10.0,1,1,1,100.0,0.10,0.10,0.00,0.00,34.8,0,1,1,0.8,0.0,0.05,+0.2,0.0,Matches
Bryan Cristante,it ITA,"DF,MF",Roma,25-347,1995,10.5,0,12,2,16.7,1.14,0.19,0.00,0.00,16.5,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches
Giovanni Crociata,it ITA,"DF,MF",Crotone,23-186,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Juan Cuadrado,co COL,DF,Juventus,32-263,1988,12.9,0,12,3,25.0,0.93,0.23,0.00,0.00,18.4,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
Giuseppe Cuomo,it ITA,DF,Crotone,23-011,1998,5.4,0,1,0,0.0,0.19,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Patrick Cutrone,it ITA,"FW,MF",Fiorentina,23-041,1998,2.2,0,3,1,33.3,1.38,0.46,0.00,0.00,11.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Wylan Cyprien,fr FRA,MF,Parma,26-016,1995,4.3,0,5,1,20.0,1.16,0.23,0.00,0.00,26.5,2,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Lennart-Marten Czyborra,de GER,DF,Genoa,21-286,1999,9.0,1,2,1,50.0,0.22,0.11,0.50,1.00,21.1,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,32-157,1988,4.4,3,5,4,80.0,1.14,0.91,0.60,0.75,10.1,0,0,0,1.1,1.1,0.22,+1.9,+1.9,Matches
Bryan Dabo,bf BFA,MF,Benevento,28-361,1992,7.5,0,11,2,18.2,1.47,0.27,0.00,0.00,17.0,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Matches
Diogo Dalot,pt POR,DF,Milan,21-332,1999,4.5,0,4,2,50.0,0.88,0.44,0.00,0.00,22.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,20-225,2000,12.1,2,12,4,33.3,0.99,0.33,0.17,0.50,17.2,0,0,0,1.7,1.7,0.14,+0.3,+0.3,Matches
Danilo,br BRA,DF,Juventus,29-213,1991,18.5,1,12,2,16.7,0.65,0.11,0.08,0.50,23.0,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
Andrea Danzi,it ITA,"MF,DF",Hellas Verona,21-354,1999,1.2,0,1,0,0.0,0.87,0.00,0.00,,23.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Matteo Darmian,it ITA,DF,Parma,31-073,1989,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matteo Darmian,it ITA,DF,Inter,31-073,1989,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,25-269,1995,13.0,0,9,1,11.1,0.69,0.08,0.00,0.00,13.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
