player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Andreas Cornelius,dk DEN,FW,Parma,27-334,1993,12.8,319,301,18,0,1,115,7,5,0,0,0,0,162,85,72,169,48,30,1,17,219,3,4,4,17,Matches
Joaquín Correa,ar ARG,FW,Lazio,26-184,1994,11.0,402,374,28,1,0,87,12,5,10,7,1,2,307,60,35,37,347,6,3,7,330,5,0,7,14,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6.0,287,226,61,19,0,11,3,0,0,0,0,0,208,7,72,5,253,1,0,23,249,0,2,2,0,Matches
Douglas Costa,br BRA,"MF,FW",Juventus,30-152,1990,0.5,27,23,4,0,0,6,0,1,4,3,0,1,19,2,6,26,1,0,0,0,20,0,1,1,1,Matches
Mamadou Coulibaly,sn SEN,MF,Udinese,22-010,1999,2.0,82,82,0,0,1,12,2,1,0,0,0,0,53,13,16,19,55,8,0,0,63,0,2,1,6,Matches
Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21.0,594,366,228,52,0,37,12,0,0,0,0,0,296,28,270,73,405,0,0,92,447,0,17,2,3,Matches
Domenico Criscito,it ITA,DF,Genoa,34-045,1986,10.0,462,410,52,25,0,31,17,9,2,0,1,1,291,53,118,336,67,25,25,2,372,4,8,10,5,Matches
Bryan Cristante,it ITA,"DF,MF",Roma,25-347,1995,10.5,665,629,36,35,1,75,18,4,1,0,1,0,474,69,122,63,574,14,0,0,556,1,8,15,8,Matches
Giovanni Crociata,it ITA,"DF,MF",Crotone,23-186,1997,0.3,16,15,1,0,0,0,0,2,0,0,0,0,12,1,3,2,13,0,1,0,11,0,1,1,0,Matches
Juan Cuadrado,co COL,DF,Juventus,32-263,1988,12.9,956,832,124,23,2,71,48,31,30,10,13,3,645,166,145,86,776,14,71,3,815,5,8,18,11,Matches
Giuseppe Cuomo,it ITA,DF,Crotone,23-011,1998,5.4,334,313,21,12,0,36,4,0,0,0,0,0,236,35,63,114,191,13,9,0,274,1,10,9,6,Matches
Patrick Cutrone,it ITA,"FW,MF",Fiorentina,23-041,1998,2.2,56,53,3,0,0,13,1,2,0,0,0,0,37,13,6,9,41,1,0,1,44,0,4,0,2,Matches
Wylan Cyprien,fr FRA,MF,Parma,26-016,1995,4.3,274,252,22,9,0,40,13,3,13,2,9,1,207,28,39,34,231,7,0,1,229,1,3,5,3,Matches
Lennart-Marten Czyborra,de GER,DF,Genoa,21-286,1999,9.0,385,305,80,3,0,29,2,12,0,0,0,0,207,91,87,232,61,13,77,1,288,1,2,10,12,Matches
