player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Mamadou Coulibaly,sn SEN,MF,Udinese,22-010,1999,2.0,10,7,4,6,0,0,2,0.0,2,36,6,16.7,8,24,4,3,1,0,2,1,11,0,0,Matches
Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21.0,0,0,0,0,0,0,3,0.0,3,5,1,20.0,5,0,0,0,0,0,0,0,0,1,0,Matches
Domenico Criscito,it ITA,DF,Genoa,34-045,1986,10.0,28,15,19,7,2,6,17,35.3,11,130,36,27.7,71,50,9,17,10,0,7,15,43,44,1,Matches
Bryan Cristante,it ITA,"DF,MF",Roma,25-347,1995,10.5,15,13,6,7,2,1,11,9.1,10,129,36,27.9,54,54,21,10,3,0,7,9,24,35,1,Matches
Giovanni Crociata,it ITA,"DF,MF",Crotone,23-186,1997,0.3,2,1,1,1,0,1,1,100.0,0,12,1,8.3,3,7,2,1,0,0,1,0,2,0,0,Matches
Juan Cuadrado,co COL,DF,Juventus,32-263,1988,12.9,33,17,18,12,3,12,27,44.4,15,165,57,34.5,76,55,34,26,1,0,25,13,46,12,0,Matches
Giuseppe Cuomo,it ITA,DF,Crotone,23-011,1998,5.4,17,11,12,5,0,7,13,53.8,6,78,30,38.5,45,28,5,6,2,0,4,9,26,17,0,Matches
Patrick Cutrone,it ITA,"FW,MF",Fiorentina,23-041,1998,2.2,3,2,2,1,0,0,4,0.0,4,63,11,17.5,11,30,22,3,0,0,3,0,3,0,0,Matches
Wylan Cyprien,fr FRA,MF,Parma,26-016,1995,4.3,10,6,7,3,0,2,6,33.3,4,67,18,26.9,31,30,6,13,6,0,7,3,13,7,2,Matches
Lennart-Marten Czyborra,de GER,DF,Genoa,21-286,1999,9.0,8,5,4,2,2,4,13,30.8,9,109,23,21.1,41,48,20,19,2,0,17,6,14,27,0,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,32-157,1988,4.4,13,9,5,6,2,6,13,46.2,7,73,31,42.5,24,39,10,4,1,0,3,3,16,7,0,Matches
Bryan Dabo,bf BFA,MF,Benevento,28-361,1992,7.5,11,5,6,3,2,4,11,36.4,7,109,32,29.4,35,58,16,9,1,0,8,11,22,10,0,Matches
Diogo Dalot,pt POR,DF,Milan,21-332,1999,4.5,8,6,7,1,0,5,10,50.0,5,49,10,20.4,25,16,8,9,1,0,8,8,16,14,0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,20-225,2000,12.1,31,16,12,14,5,10,45,22.2,35,337,87,25.8,89,158,90,29,3,0,26,18,49,9,0,Matches
Danilo,br BRA,DF,Juventus,29-213,1991,18.5,32,20,25,7,0,15,36,41.7,21,129,43,33.3,73,47,9,25,6,0,19,24,56,47,0,Matches
Andrea Danzi,it ITA,"MF,DF",Hellas Verona,21-354,1999,1.2,0,0,0,0,0,0,1,0.0,1,5,2,40.0,2,3,0,1,1,0,0,1,1,2,0,Matches
Matteo Darmian,it ITA,DF,Parma,31-073,1989,2.3,6,3,3,3,0,3,8,37.5,5,40,11,27.5,22,17,1,3,0,0,3,3,9,11,0,Matches
Matteo Darmian,it ITA,DF,Inter,31-073,1989,6.4,16,9,11,3,2,8,13,61.5,5,86,29,33.7,29,35,22,9,1,0,8,8,24,16,0,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,25-269,1995,13.0,26,19,17,6,3,5,13,38.5,8,165,48,29.1,83,71,11,26,14,0,12,15,41,65,0,Matches
Sebastien De Maio,fr FRA,DF,Udinese,33-345,1987,6.9,17,11,6,11,0,3,3,100.0,0,76,28,36.8,49,26,1,14,8,1,6,7,24,33,0,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,26-265,1994,19.8,25,18,13,10,2,7,31,22.6,24,258,79,30.6,99,106,53,39,0,0,39,11,36,11,1,Matches
Mattia De Sciglio,it ITA,DF,Juventus,28-116,1992,0.3,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,1,0,0,1,0,0,1,0,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,32-266,1988,14.2,21,9,11,9,1,8,21,38.1,13,166,44,26.5,76,66,24,38,2,0,36,11,32,36,0,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,29-241,1991,7.2,8,6,4,1,3,2,6,33.3,4,77,23,29.9,15,37,25,9,1,0,8,3,11,2,1,Matches
Alessandro Deiola,it ITA,MF,Cagliari,25-196,1995,0.7,1,1,0,0,1,0,2,0.0,2,12,3,25.0,3,6,3,1,0,0,1,0,1,0,0,Matches
Alessandro Deiola,it ITA,MF,Spezia,25-196,1995,4.0,9,6,5,4,0,5,9,55.6,4,79,20,25.3,21,44,14,4,1,0,3,2,11,2,0,Matches
Lorenzo Del Pinto,it ITA,MF,Benevento,30-241,1990,0.1,0,0,0,0,0,0,1,0.0,1,3,0,0.0,1,0,2,0,0,0,0,0,0,1,0,Matches
Cristian Dell'Orco,it ITA,DF,Spezia,27-003,1994,2.7,1,1,1,0,0,1,2,50.0,1,15,6,40.0,7,3,5,11,6,0,5,3,4,7,0,Matches
Merih Demiral,tr TUR,DF,Juventus,22-345,1998,6.2,13,9,9,4,0,2,5,40.0,3,63,20,31.7,39,20,4,11,5,0,6,6,19,21,0,Matches
Diego Demme,de GER,MF,Napoli,29-084,1991,8.3,29,21,9,17,3,5,27,18.5,22,174,62,35.6,44,97,33,9,1,0,8,10,39,7,0,Matches
Stefano Denswil,nl NED,DF,Bologna,27-282,1993,1.3,2,2,0,1,1,1,2,50.0,1,21,7,33.3,14,6,1,3,0,0,3,1,3,4,0,Matches
Fabio Depaoli,it ITA,DF,Benevento,23-295,1997,3.0,5,1,4,1,0,4,7,57.1,3,38,9,23.7,20,13,5,11,3,0,8,2,7,16,1,Matches
Fabio Depaoli,it ITA,DF,Atalanta,23-295,1997,2.1,3,1,0,0,3,0,2,0.0,2,31,9,29.0,9,10,12,9,0,0,9,1,4,3,0,Matches
Fabio Depaoli,it ITA,MF,Sampdoria,23-295,1997,0.9,1,0,0,0,1,1,3,33.3,2,18,4,22.2,8,6,4,0,0,0,0,0,1,2,0,Matches
Kastriot Dermaku,al ALB,DF,Parma,29-029,1992,1.1,1,0,0,1,0,0,0,,0,11,3,27.3,7,4,0,3,1,0,2,1,2,8,0,Matches
Kiril Despodov,bg BUL,FW,Cagliari,24-094,1996,0.1,1,0,0,1,0,1,1,100.0,0,5,2,40.0,0,2,3,1,0,0,1,0,1,0,0,Matches
Mattia Destro,it ITA,FW,Genoa,29-330,1991,9.2,7,6,1,3,3,1,4,25.0,3,141,36,25.5,10,62,69,7,1,0,6,1,8,7,0,Matches
Gerard Deulofeu,es ESP,FW,Udinese,26-337,1994,5.6,2,2,0,0,2,1,7,14.3,6,95,26,27.4,18,36,41,1,0,0,1,2,4,0,0,Matches
Jacopo Dezi,it ITA,"FW,MF",Parma,29-003,1992,0.9,2,1,0,1,1,1,4,25.0,3,22,3,13.6,3,12,7,4,0,0,4,1,3,0,0,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,32-146,1988,5.6,0,0,0,0,0,0,3,0.0,3,64,16,25.0,4,23,37,1,1,0,0,0,0,7,0,Matches
Samuel Di Carmine,it ITA,FW,Crotone,32-146,1988,1.5,0,0,0,0,0,0,0,,0,8,2,25.0,0,6,2,2,0,0,2,0,0,1,0,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,27-193,1993,19.0,48,35,30,14,4,20,40,50.0,20,224,80,35.7,98,80,46,28,5,0,23,19,67,27,0,Matches
Giuseppe Di Serio,it ITA,"MF,FW",Benevento,19-208,2001,1.9,2,2,2,0,0,1,5,20.0,4,37,7,18.9,14,13,10,2,0,0,2,1,3,1,0,Matches
Amad Diallo,ci CIV,MF,Atalanta,18-217,2002,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
Amadou Diawara,gn GUI,MF,Roma,23-211,1997,1.8,6,4,2,4,0,0,0,,0,29,5,17.2,6,20,3,2,1,0,1,0,6,5,0,Matches
