player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Sébastien Cibois,fr FRA,GK,Brest,22-348,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,22-252,1998,7.8,1,14,5,35.7,1.79,0.64,0.07,0.20,21.1,2,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
Jonathan Clauss,fr FRA,DF,Lens,28-141,1992,15.2,0,20,8,40.0,1.32,0.53,0.00,0.00,21.6,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
Marcus Coco,fr FRA,"MF,FW",Nantes,24-234,1996,12.5,0,11,0,0.0,0.88,0.00,0.00,,14.3,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Racine Coly,sn SEN,DF,Nice,25-067,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Congré,fr FRA,DF,Montpellier,35-314,1985,23.7,2,11,2,18.2,0.47,0.08,0.18,1.00,7.9,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Matches
Sébastien Corchia,fr FRA,DF,Nantes,30-104,1990,14.2,0,16,6,37.5,1.12,0.42,0.00,0.00,23.8,4,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Maxwel Cornet,ci CIV,"DF,FW",Lyon,24-139,1996,17.4,1,14,6,42.9,0.80,0.34,0.07,0.17,17.3,2,0,0,1.9,1.9,0.14,-0.9,-0.9,Matches
David Pereira da Costa,pt POR,"MF,DF",Lens,20-039,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Benoît Costil,fr FRA,GK,Bordeaux,33-225,1987,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,29-176,1991,5.2,0,6,0,0.0,1.15,0.00,0.00,,10.3,0,0,0,1.1,1.1,0.19,-1.1,-1.1,Matches
Lassana Coulibaly,ml MLI,MF,Angers,24-309,1996,12.7,1,10,3,30.0,0.79,0.24,0.10,0.33,20.7,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
