player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Jean-Charles Castelletto,cm CMR,DF,Nantes,26-018,1995,10.5,5,0.48,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Zeki Çelik,tr TUR,DF,Lille,23-362,1997,14.8,25,1.69,22,0,1,0,1,1,5,0.34,5,0,0,0,0,0,0,Matches
Bersant Celina,xk KVX,"MF,FW",Dijon,24-157,1996,15.5,44,2.84,27,17,0,0,0,0,4,0.26,2,2,0,0,0,0,0,Matches
Fabien Centonze,fr FRA,DF,Metz,25-028,1996,23.0,38,1.65,24,3,3,1,5,2,5,0.22,3,0,0,0,1,1,0,Matches
Fouad Chafik,ma MAR,DF,Dijon,34-120,1986,10.9,8,0.73,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mehdi Chahiri,ma MAR,"FW,MF",Strasbourg,24-203,1996,8.0,19,2.37,11,1,5,1,0,1,1,0.12,0,0,0,1,0,0,0,Matches
Aníbal Chalá,ec ECU,DF,Dijon,24-280,1996,4.4,6,1.37,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Trevoh Chalobah,eng ENG,"MF,DF",Lorient,21-223,1999,11.6,16,1.38,13,1,1,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Gaëtan Charbonnier,fr FRA,"MF,FW",Brest,32-048,1988,9.8,31,3.16,26,0,2,1,0,2,0,0.00,0,0,0,0,0,0,0,Matches
Brendan Chardonnet,fr FRA,DF,Brest,26-053,1994,16.2,5,0.31,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Xavier Chavalerin,fr FRA,MF,Reims,29-343,1991,15.4,19,1.23,16,0,0,2,1,0,2,0.13,1,0,0,1,0,0,0,Matches
Pape Cheikh Diop,sn SEN,MF,Dijon,23-189,1997,11.3,20,1.77,15,0,0,1,4,0,1,0.09,0,0,0,0,1,0,0,Matches
Rayan Cherki,fr FRA,"FW,MF",Lyon,17-180,2003,4.8,18,3.76,12,1,3,0,2,0,3,0.63,2,0,0,0,1,0,0,Matches
Pedro Chirivella,es ESP,MF,Nantes,23-266,1997,12.4,21,1.70,15,2,0,2,1,1,1,0.08,1,0,0,0,0,0,0,Matches
Joris Chotard,fr FRA,MF,Montpellier,19-142,2001,8.6,12,1.39,7,1,1,1,0,2,1,0.12,1,0,0,0,0,0,0,Matches
Mounir Chouiar,fr FRA,"FW,MF",Dijon,22-021,1999,11.6,43,3.72,18,13,5,4,3,0,2,0.17,2,0,0,0,0,0,0,Matches
