player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Irvin Cardona,fr FRA,FW,Brest,23-189,1997,15.6,8,3,5,2,1,3,20,15.0,17,211,60,28.4,26,109,76,13,4,0,9,5,13,18,1,Matches
Lionel Carole,fr FRA,DF,Strasbourg,29-307,1991,10.0,33,20,19,11,3,14,24,58.3,10,105,41,39.0,52,38,15,14,1,0,13,21,54,29,0,Matches
Moreto Cassamã,gw GNB,MF,Reims,22-363,1998,12.9,24,19,10,14,0,7,20,35.0,13,152,51,33.6,56,81,15,16,6,0,10,22,46,19,0,Matches
Jean-Charles Castelletto,cm CMR,DF,Nantes,26-018,1995,10.5,20,7,13,6,1,10,21,47.6,11,84,34,40.5,49,32,3,21,14,0,7,14,34,62,0,Matches
Zeki Çelik,tr TUR,DF,Lille,23-362,1997,14.8,51,23,23,19,9,24,47,51.1,23,227,68,30.0,93,105,29,38,6,0,32,15,66,41,0,Matches
Bersant Celina,xk KVX,"MF,FW",Dijon,24-157,1996,15.5,14,5,3,7,4,5,17,29.4,12,179,52,29.1,39,87,53,16,1,0,15,5,19,6,0,Matches
Fabien Centonze,fr FRA,DF,Metz,25-028,1996,23.0,75,36,47,18,10,21,42,50.0,21,294,88,29.9,150,104,40,60,13,0,47,30,105,132,0,Matches
Fouad Chafik,ma MAR,DF,Dijon,34-120,1986,10.9,26,19,18,5,3,10,21,47.6,11,99,36,36.4,53,39,7,22,4,1,18,8,34,40,0,Matches
Mehdi Chahiri,ma MAR,"FW,MF",Strasbourg,24-203,1996,8.0,15,11,4,7,4,5,17,29.4,12,122,47,38.5,28,44,50,11,0,0,11,9,24,1,0,Matches
Aníbal Chalá,ec ECU,DF,Dijon,24-280,1996,4.4,9,3,4,4,1,3,7,42.9,4,55,15,27.3,26,27,2,9,2,0,7,7,16,13,0,Matches
Trevoh Chalobah,eng ENG,"MF,DF",Lorient,21-223,1999,11.6,26,16,10,16,0,7,16,43.8,9,132,40,30.3,50,68,14,18,5,0,13,30,56,31,0,Matches
Gaëtan Charbonnier,fr FRA,"MF,FW",Brest,32-048,1988,9.8,15,11,3,6,6,3,14,21.4,11,161,46,28.6,27,69,65,7,0,0,7,4,19,9,0,Matches
Brendan Chardonnet,fr FRA,DF,Brest,26-053,1994,16.2,34,20,22,10,2,17,26,65.4,9,137,55,40.1,78,52,7,37,25,0,12,19,53,106,2,Matches
Xavier Chavalerin,fr FRA,MF,Reims,29-343,1991,15.4,62,31,29,26,7,9,40,22.5,31,316,98,31.0,134,127,55,31,6,0,25,14,76,18,1,Matches
Pape Cheikh Diop,sn SEN,MF,Dijon,23-189,1997,11.3,18,17,12,5,1,7,30,23.3,23,193,58,30.1,65,98,30,17,2,0,15,5,23,11,0,Matches
Rayan Cherki,fr FRA,"FW,MF",Lyon,17-180,2003,4.8,4,2,0,1,3,1,7,14.3,6,61,20,32.8,6,26,29,3,0,0,3,3,7,0,0,Matches
Pedro Chirivella,es ESP,MF,Nantes,23-266,1997,12.4,17,10,5,9,3,5,21,23.8,16,163,48,29.4,42,94,27,16,1,0,15,11,28,7,0,Matches
Joris Chotard,fr FRA,MF,Montpellier,19-142,2001,8.6,18,13,5,11,2,7,23,30.4,16,124,38,30.6,49,60,15,10,3,0,7,13,31,14,0,Matches
Mounir Chouiar,fr FRA,"FW,MF",Dijon,22-021,1999,11.6,19,14,12,5,2,6,20,30.0,14,163,52,31.9,50,71,42,19,0,0,19,9,28,6,0,Matches
Sébastien Cibois,fr FRA,GK,Brest,22-348,1998,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,22-252,1998,7.8,10,6,3,5,2,3,18,16.7,15,97,24,24.7,20,47,30,9,1,0,8,3,13,3,0,Matches
Jonathan Clauss,fr FRA,DF,Lens,28-141,1992,15.2,34,17,8,18,8,10,31,32.3,21,175,58,33.1,47,84,44,29,1,0,28,23,57,32,0,Matches
Marcus Coco,fr FRA,"MF,FW",Nantes,24-234,1996,12.5,31,21,11,11,9,8,20,40.0,12,235,66,28.1,58,116,61,14,1,0,13,11,42,7,0,Matches
Racine Coly,sn SEN,DF,Nice,25-067,1995,0.2,1,1,1,0,0,0,1,0.0,1,4,3,75.0,2,2,0,0,0,0,0,0,1,0,0,Matches
